time    position0   position1   position2   position3   
0  [12.5,9.5,]      [6.5,9.5,]      [9.5,12.5,]      [9.5,6.5,]      
1  [12.484,9.43869,]      [6.51597,9.56131,]      [8.67739,12.5772,]      [10.3226,6.42282,]      
2  [12.4224,9.36594,]      [6.57764,9.63406,]      [8.08558,12.6265,]      [10.9144,6.37349,]      
3  [12.3257,9.28058,]      [6.67434,9.71941,]      [7.71816,12.6088,]      [11.2818,6.39123,]      
4  [12.2603,9.2237,]      [6.73968,9.77629,]      [7.5325,12.5568,]      [11.4674,6.44341,]      
5  [12.2515,9.21892,]      [6.74846,9.78106,]      [7.38983,12.4981,]      [11.61,6.50225,]      
6  [12.2607,9.23168,]      [6.73927,9.76827,]      [7.26019,12.4404,]      [11.7397,6.56,]      
7  [12.2574,9.23065,]      [6.74251,9.76923,]      [7.16227,12.3907,]      [11.8374,6.60941,]      
8  [12.2225,9.20213,]      [6.77732,9.7976,]      [7.08422,12.3613,]      [11.9153,6.6381,]      
9  [12.1573,9.16511,]      [6.84232,9.83423,]      [6.99866,12.3486,]      [12.0006,6.65003,]      
10  [12.1037,9.15267,]      [6.89588,9.8459,]      [6.89167,12.3413,]      [12.1071,6.65611,]      
11  [12.0865,9.1729,]      [6.91336,9.82493,]      [6.7867,12.3344,]      [12.2109,6.66007,]      
12  [12.0771,9.21566,]      [6.9232,9.78246,]      [6.70359,12.327,]      [12.2917,6.66233,]      
13  [12.0535,9.26437,]      [6.94644,9.73561,]      [6.63486,12.3231,]      [12.3574,6.65875,]      
14  [12.0285,9.30267,]      [6.96937,9.70061,]      [6.56911,12.3197,]      [12.4211,6.65346,]      
15  [12.009,9.32373,]      [6.98647,9.68327,]      [6.50776,12.3109,]      [12.4834,6.65443,]      
16  [11.9808,9.33678,]      [7.01678,9.67182,]      [6.4514,12.3021,]      [12.5454,6.65756,]      
17  [11.9436,9.35181,]      [7.06439,9.65343,]      [6.39553,12.3024,]      [12.6124,6.65344,]      
