time    position0   position1   position2   position3   
0  [12.5,9.5,]      [6.5,9.5,]      [9.5,12.5,]      [9.5,6.5,]      
0.1  [12.4999,9.49402,]      [6.50014,9.50598,]      [9.41762,12.501,]      [9.58238,6.49898,]      
0.2  [12.4994,9.48804,]      [6.50057,9.51196,]      [9.33486,12.5041,]      [9.66514,6.49594,]      
0.3  [12.4987,9.48203,]      [6.50129,9.51797,]      [9.25138,12.5091,]      [9.74862,6.4909,]      
0.4  [12.4977,9.47601,]      [6.50231,9.52399,]      [9.16684,12.5161,]      [9.83316,6.48387,]      
0.5  [12.4964,9.46995,]      [6.50365,9.53005,]      [9.08098,12.5251,]      [9.91902,6.4749,]      
0.6  [12.4947,9.46384,]      [6.50533,9.53616,]      [8.99357,12.536,]      [10.0064,6.46399,]      
0.7  [12.4926,9.45767,]      [6.50737,9.54233,]      [8.90817,12.5473,]      [10.0918,6.45265,]      
0.8  [12.4902,9.45143,]      [6.50981,9.54857,]      [8.82726,12.558,]      [10.1727,6.44202,]      
0.9  [12.4873,9.44511,]      [6.51266,9.55489,]      [8.75046,12.5679,]      [10.2495,6.43207,]      
1  [12.484,9.43869,]      [6.51597,9.56131,]      [8.67739,12.5772,]      [10.3226,6.42283,]      
1.1  [12.4802,9.43215,]      [6.51975,9.56785,]      [8.60768,12.5857,]      [10.3923,6.4143,]      
1.2  [12.476,9.42549,]      [6.52404,9.57451,]      [8.54097,12.5935,]      [10.459,6.40652,]      
1.3  [12.4711,9.41867,]      [6.52885,9.58133,]      [8.47693,12.6005,]      [10.5231,6.3995,]      
1.4  [12.4658,9.4117,]      [6.53421,9.5883,]      [8.41526,12.6067,]      [10.5847,6.39328,]      
1.5  [12.4599,9.40455,]      [6.54011,9.59545,]      [8.35573,12.6121,]      [10.6443,6.38788,]      
1.6  [12.4534,9.39722,]      [6.54657,9.60278,]      [8.29813,12.6167,]      [10.7019,6.38333,]      
1.7  [12.4464,9.38969,]      [6.55357,9.61031,]      [8.24234,12.6204,]      [10.7577,6.37963,]      
1.8  [12.4389,9.38197,]      [6.5611,9.61803,]      [8.18829,12.6232,]      [10.8117,6.37678,]      
1.9  [12.4309,9.37405,]      [6.56914,9.62595,]      [8.136,12.6253,]      [10.864,6.37475,]      
2  [12.4224,9.36594,]      [6.57764,9.63406,]      [8.08558,12.6265,]      [10.9144,6.3735,]      
2.1  [12.4134,9.35766,]      [6.58656,9.64234,]      [8.03723,12.627,]      [10.9628,6.37298,]      
2.2  [12.4042,9.34921,]      [6.59584,9.65079,]      [7.99122,12.6269,]      [11.0088,6.37312,]      
2.3  [12.3946,9.34064,]      [6.60543,9.65936,]      [7.94787,12.6262,]      [11.0521,6.37379,]      
2.4  [12.3848,9.33197,]      [6.61525,9.66803,]      [7.9073,12.6251,]      [11.0927,6.37493,]      
2.5  [12.3748,9.32323,]      [6.62522,9.67677,]      [7.86947,12.6235,]      [11.1305,6.37654,]      
2.6  [12.3647,9.31449,]      [6.63525,9.68551,]      [7.83432,12.6214,]      [11.1657,6.37861,]      
2.7  [12.3547,9.3058,]      [6.64527,9.6942,]      [7.80177,12.6189,]      [11.1982,6.38114,]      
2.8  [12.3448,9.29721,]      [6.65518,9.70279,]      [7.77167,12.6159,]      [11.2283,6.3841,]      
2.9  [12.3351,9.28878,]      [6.6649,9.71122,]      [7.74386,12.6126,]      [11.2561,6.38747,]      
3  [12.3257,9.28059,]      [6.67434,9.71941,]      [7.71815,12.6088,]      [11.2818,6.39124,]      
3.1  [12.3166,9.27269,]      [6.68342,9.72731,]      [7.69432,12.6047,]      [11.3057,6.39538,]      
3.2  [12.3079,9.26516,]      [6.69206,9.73484,]      [7.67218,12.6002,]      [11.3278,6.39984,]      
3.3  [12.2998,9.25805,]      [6.7002,9.74195,]      [7.65149,12.5955,]      [11.3485,6.40461,]      
