time     loop_value       loop_value*mass/pi*h_bar     
0  0.000761  1.046820   
100  0.000761  1.046819   
200  0.000761  1.046816   
300  0.000761  1.046811   
400  0.000761  1.046804   
500  0.000761  1.046795   
600  0.000761  1.046784   
700  0.000761  1.046770   
800  0.000761  1.046755   
900  0.000761  1.046737   
1000  0.000761  1.046718   
1100  0.000761  1.046697   
1200  0.000761  1.046673   
1300  0.000761  1.046648   
1400  0.000761  1.046620   
1500  0.000761  1.046591   
1600  0.000761  1.046559   
1700  0.000761  1.046526   
1800  0.000761  1.046491   
1900  0.000761  1.046453   
2000  0.000761  1.046414   
2100  0.000761  1.046373   
2200  0.000761  1.046330   
2300  0.000761  1.046285   
2400  0.000761  1.046238   
2500  0.000761  1.046189   
2600  0.000761  1.046139   
2700  0.000761  1.046086   
2800  0.000761  1.046032   
2900  0.000761  1.045976   
3000  0.000761  1.045919   
3100  0.000761  1.045859   
3200  0.000761  1.045798   
3300  0.000761  1.045736   
3400  0.000761  1.045671   
3500  0.000761  1.045605   
3600  0.000760  1.045538   
3700  0.000760  1.045468   
3800  0.000760  1.045398   
3900  0.000760  1.045326   
4000  0.000760  1.045252   
4100  0.000760  1.045177   
4200  0.000760  1.045100   
4300  0.000760  1.045023   
4400  0.000760  1.044944   
4500  0.000760  1.044863   
4600  0.000760  1.044782   
4700  0.000760  1.044699   
4800  0.000760  1.044615   
4900  0.000760  1.044530   
5000  0.000760  1.044444   
5100  0.000760  1.044357   
5200  0.000760  1.044269   
5300  0.000760  1.044180   
5400  0.000759  1.044090   
5500  0.000759  1.044000   
5600  0.000759  1.043908   
5700  0.000759  1.043816   
5800  0.000759  1.043724   
5900  0.000759  1.043631   
6000  0.000759  1.043537   
6100  0.000759  1.043443   
6200  0.000759  1.043349   
6300  0.000759  1.043254   
6400  0.000759  1.043159   
6500  0.000759  1.043064   
6600  0.000759  1.042969   
6700  0.000759  1.042873   
6800  0.000758  1.042778   
6900  0.000758  1.042683   
7000  0.000758  1.042587   
7100  0.000758  1.042493   
7200  0.000758  1.042398   
7300  0.000758  1.042304   
7400  0.000758  1.042210   
7500  0.000758  1.042117   
7600  0.000758  1.042024   
7700  0.000758  1.041932   
7800  0.000758  1.041841   
7900  0.000758  1.041750   
8000  0.000758  1.041661   
8100  0.000758  1.041572   
8200  0.000758  1.041485   
8300  0.000757  1.041398   
8400  0.000757  1.041313   
8500  0.000757  1.041229   
8600  0.000757  1.041146   
8700  0.000757  1.041065   
8800  0.000757  1.040986   
8900  0.000757  1.040908   
9000  0.000757  1.040831   
9100  0.000757  1.040757   
9200  0.000757  1.040684   
9300  0.000757  1.040613   
9400  0.000757  1.040544   
9500  0.000757  1.040477   
9600  0.000757  1.040412   
9700  0.000757  1.040350   
9800  0.000757  1.040290   
9900  0.000757  1.040232   
10000  0.000757  1.040176   
10100  0.000757  1.040123   
10200  0.000757  1.040073   
10300  0.000756  1.040025   
10400  0.000756  1.039981   
10500  0.000756  1.039938   
10600  0.000756  1.039899   
10700  0.000756  1.039863   
10800  0.000756  1.039829   
10900  0.000756  1.039799   
11000  0.000756  1.039772   
11100  0.000756  1.039748   
11200  0.000756  1.039727   
11300  0.000756  1.039709   
11400  0.000756  1.039695   
11500  0.000756  1.039684   
11600  0.000756  1.039677   
11700  0.000756  1.039673   
11800  0.000756  1.039673   
11900  0.000756  1.039676   
12000  0.000756  1.039683   
12100  0.000756  1.039693   
12200  0.000756  1.039707   
12300  0.000756  1.039725   
12400  0.000756  1.039747   
12500  0.000756  1.039772   
12600  0.000756  1.039802   
12700  0.000756  1.039835   
12800  0.000756  1.039872   
12900  0.000756  1.039913   
13000  0.000756  1.039957   
13100  0.000756  1.040006   
13200  0.000757  1.040059   
13300  0.000757  1.040115   
13400  0.000757  1.040175   
13500  0.000757  1.040240   
13600  0.000757  1.040308   
13700  0.000757  1.040380   
13800  0.000757  1.040456   
13900  0.000757  1.040535   
14000  0.000757  1.040619   
14100  0.000757  1.040706   
14200  0.000757  1.040797   
14300  0.000757  1.040892   
14400  0.000757  1.040991   
14500  0.000757  1.041093   
14600  0.000757  1.041199   
14700  0.000757  1.041308   
14800  0.000757  1.041421   
14900  0.000758  1.041538   
15000  0.000758  1.041658   
15100  0.000758  1.041781   
15200  0.000758  1.041907   
15300  0.000758  1.042037   
15400  0.000758  1.042170   
15500  0.000758  1.042306   
15600  0.000758  1.042445   
15700  0.000758  1.042586   
15800  0.000758  1.042731   
15900  0.000759  1.042878   
16000  0.000759  1.043028   
16100  0.000759  1.043180   
16200  0.000759  1.043335   
16300  0.000759  1.043492   
16400  0.000759  1.043651   
16500  0.000759  1.043812   
16600  0.000759  1.043975   
16700  0.000759  1.044140   
16800  0.000760  1.044306   
16900  0.000760  1.044474   
17000  0.000760  1.044644   
17100  0.000760  1.044815   
17200  0.000760  1.044987   
17300  0.000760  1.045159   
17400  0.000760  1.045333   
17500  0.000760  1.045507   
17600  0.000761  1.045682   
17700  0.000761  1.045857   
17800  0.000761  1.046033   
17900  0.000761  1.046208   
18000  0.000761  1.046383   
18100  0.000761  1.046558   
18200  0.000761  1.046733   
18300  0.000761  1.046906   
18400  0.000762  1.047079   
18500  0.000762  1.047251   
18600  0.000762  1.047422   
18700  0.000762  1.047591   
18800  0.000762  1.047758   
18900  0.000762  1.047924   
19000  0.000762  1.048088   
19100  0.000762  1.048250   
19200  0.000763  1.048409   
19300  0.000763  1.048565   
19400  0.000763  1.048719   
19500  0.000763  1.048870   
19600  0.000763  1.049018   
19700  0.000763  1.049162   
19800  0.000763  1.049302   
19900  0.000763  1.049439   
20000  0.000763  1.049570   
