time     loop_value       loop_value*mass/pi*h_bar     
0  0.000761  1.046820   
100  0.000761  1.046819   
200  0.000761  1.046816   
300  0.000761  1.046811   
400  0.000761  1.046804   
500  0.000761  1.046795   
600  0.000761  1.046784   
700  0.000761  1.046770   
800  0.000761  1.046755   
900  0.000761  1.046737   
1000  0.000761  1.046718   
1100  0.000761  1.046697   
1200  0.000761  1.046673   
1300  0.000761  1.046648   
1400  0.000761  1.046620   
1500  0.000761  1.046591   
1600  0.000761  1.046559   
1700  0.000761  1.046526   
1800  0.000761  1.046491   
1900  0.000761  1.046453   
2000  0.000761  1.046414   
2100  0.000761  1.046373   
2200  0.000761  1.046330   
2300  0.000761  1.046285   
2400  0.000761  1.046238   
2500  0.000761  1.046189   
