time     loop_value       loop_value*mass/pi*h_bar     
0  0.000913  1.254967   
100  0.000913  1.254967   
200  0.000913  1.254967   
300  0.000913  1.254967   
400  0.000913  1.254967   
500  0.000913  1.254967   
600  0.000913  1.254968   
700  0.000913  1.254968   
800  0.000913  1.254968   
900  0.000913  1.254968   
1000  0.000913  1.254968   
1100  0.000913  1.254969   
1200  0.000913  1.254969   
1300  0.000913  1.254969   
1400  0.000913  1.254969   
1500  0.000913  1.254970   
1600  0.000913  1.254970   
1700  0.000913  1.254970   
1800  0.000913  1.254971   
1900  0.000913  1.254971   
2000  0.000913  1.254972   
2100  0.000913  1.254972   
2200  0.000913  1.254973   
2300  0.000913  1.254973   
2400  0.000913  1.254974   
2500  0.000913  1.254974   
2600  0.000913  1.254975   
2700  0.000913  1.254976   
2800  0.000913  1.254976   
2900  0.000913  1.254977   
3000  0.000913  1.254977   
3100  0.000913  1.254978   
3200  0.000913  1.254979   
3300  0.000913  1.254980   
3400  0.000913  1.254980   
3500  0.000913  1.254981   
3600  0.000913  1.254982   
3700  0.000913  1.254983   
3800  0.000913  1.254984   
3900  0.000913  1.254984   
4000  0.000913  1.254985   
4100  0.000913  1.254986   
4200  0.000913  1.254987   
4300  0.000913  1.254988   
4400  0.000913  1.254989   
4500  0.000913  1.254990   
4600  0.000913  1.254991   
4700  0.000913  1.254992   
4800  0.000913  1.254993   
4900  0.000913  1.254994   
5000  0.000913  1.254995   
5100  0.000913  1.254996   
5200  0.000913  1.254997   
5300  0.000913  1.254998   
5400  0.000913  1.254999   
5500  0.000913  1.255001   
5600  0.000913  1.255002   
5700  0.000913  1.255003   
5800  0.000913  1.255004   
5900  0.000913  1.255005   
6000  0.000913  1.255006   
6100  0.000913  1.255008   
6200  0.000913  1.255009   
6300  0.000913  1.255010   
6400  0.000913  1.255011   
6500  0.000913  1.255013   
6600  0.000913  1.255014   
6700  0.000913  1.255015   
6800  0.000913  1.255017   
6900  0.000913  1.255018   
7000  0.000913  1.255019   
7100  0.000913  1.255021   
7200  0.000913  1.255022   
7300  0.000913  1.255023   
7400  0.000913  1.255025   
7500  0.000913  1.255026   
7600  0.000913  1.255028   
7700  0.000913  1.255029   
7800  0.000913  1.255031   
7900  0.000913  1.255032   
8000  0.000913  1.255033   
8100  0.000913  1.255035   
8200  0.000913  1.255036   
8300  0.000913  1.255038   
8400  0.000913  1.255039   
8500  0.000913  1.255041   
8600  0.000913  1.255042   
8700  0.000913  1.255044   
8800  0.000913  1.255045   
8900  0.000913  1.255047   
9000  0.000913  1.255048   
9100  0.000913  1.255050   
9200  0.000913  1.255051   
9300  0.000913  1.255053   
9400  0.000913  1.255054   
9500  0.000913  1.255056   
9600  0.000913  1.255057   
9700  0.000913  1.255059   
9800  0.000913  1.255060   
9900  0.000913  1.255062   
10000  0.000913  1.255063   
10100  0.000913  1.255065   
10200  0.000913  1.255066   
10300  0.000913  1.255068   
10400  0.000913  1.255070   
10500  0.000913  1.255071   
10600  0.000913  1.255073   
10700  0.000913  1.255074   
10800  0.000913  1.255076   
10900  0.000913  1.255077   
11000  0.000913  1.255079   
11100  0.000913  1.255080   
11200  0.000913  1.255082   
11300  0.000913  1.255083   
11400  0.000913  1.255085   
11500  0.000913  1.255086   
11600  0.000913  1.255087   
11700  0.000913  1.255089   
11800  0.000913  1.255090   
11900  0.000913  1.255092   
12000  0.000913  1.255093   
12100  0.000913  1.255095   
12200  0.000913  1.255096   
12300  0.000913  1.255097   
12400  0.000913  1.255099   
12500  0.000913  1.255100   
12600  0.000913  1.255102   
12700  0.000913  1.255103   
12800  0.000913  1.255104   
12900  0.000913  1.255105   
13000  0.000913  1.255107   
13100  0.000913  1.255108   
13200  0.000913  1.255109   
13300  0.000913  1.255111   
13400  0.000913  1.255112   
13500  0.000913  1.255113   
13600  0.000913  1.255114   
13700  0.000913  1.255115   
13800  0.000913  1.255116   
13900  0.000913  1.255118   
14000  0.000913  1.255119   
14100  0.000913  1.255120   
14200  0.000913  1.255121   
14300  0.000913  1.255122   
14400  0.000913  1.255123   
14500  0.000913  1.255124   
14600  0.000913  1.255125   
14700  0.000913  1.255126   
14800  0.000913  1.255127   
14900  0.000913  1.255128   
15000  0.000913  1.255128   
15100  0.000913  1.255129   
15200  0.000913  1.255130   
15300  0.000913  1.255131   
15400  0.000913  1.255132   
15500  0.000913  1.255132   
15600  0.000913  1.255133   
15700  0.000913  1.255134   
15800  0.000913  1.255134   
15900  0.000913  1.255135   
16000  0.000913  1.255135   
16100  0.000913  1.255136   
16200  0.000913  1.255136   
16300  0.000913  1.255137   
16400  0.000913  1.255137   
16500  0.000913  1.255138   
16600  0.000913  1.255138   
16700  0.000913  1.255138   
16800  0.000913  1.255138   
16900  0.000913  1.255139   
17000  0.000913  1.255139   
17100  0.000913  1.255139   
17200  0.000913  1.255139   
17300  0.000913  1.255139   
17400  0.000913  1.255139   
17500  0.000913  1.255139   
17600  0.000913  1.255139   
17700  0.000913  1.255139   
17800  0.000913  1.255139   
17900  0.000913  1.255138   
18000  0.000913  1.255138   
18100  0.000913  1.255138   
18200  0.000913  1.255137   
18300  0.000913  1.255137   
18400  0.000913  1.255136   
18500  0.000913  1.255136   
18600  0.000913  1.255135   
18700  0.000913  1.255135   
18800  0.000913  1.255134   
18900  0.000913  1.255133   
19000  0.000913  1.255133   
19100  0.000913  1.255132   
19200  0.000913  1.255131   
19300  0.000913  1.255130   
19400  0.000913  1.255129   
19500  0.000913  1.255128   
19600  0.000913  1.255127   
19700  0.000913  1.255126   
19800  0.000913  1.255124   
19900  0.000913  1.255123   
20000  0.000913  1.255122   
20100  0.000913  1.255120   
20200  0.000913  1.255119   
20300  0.000913  1.255117   
20400  0.000913  1.255116   
20500  0.000913  1.255114   
20600  0.000913  1.255113   
20700  0.000913  1.255111   
20800  0.000913  1.255109   
20900  0.000913  1.255107   
21000  0.000913  1.255105   
21100  0.000913  1.255103   
21200  0.000913  1.255101   
21300  0.000913  1.255099   
21400  0.000913  1.255097   
21500  0.000913  1.255095   
21600  0.000913  1.255093   
21700  0.000913  1.255090   
21800  0.000913  1.255088   
21900  0.000913  1.255085   
22000  0.000913  1.255083   
22100  0.000913  1.255080   
22200  0.000913  1.255078   
22300  0.000913  1.255075   
22400  0.000913  1.255072   
22500  0.000913  1.255069   
22600  0.000913  1.255067   
22700  0.000913  1.255064   
22800  0.000913  1.255061   
22900  0.000913  1.255058   
23000  0.000913  1.255055   
23100  0.000913  1.255051   
23200  0.000913  1.255048   
23300  0.000913  1.255045   
23400  0.000913  1.255042   
23500  0.000913  1.255038   
23600  0.000913  1.255035   
23700  0.000913  1.255031   
23800  0.000913  1.255028   
23900  0.000913  1.255024   
24000  0.000913  1.255020   
24100  0.000913  1.255017   
24200  0.000913  1.255013   
24300  0.000913  1.255009   
24400  0.000913  1.255005   
24500  0.000913  1.255002   
24600  0.000913  1.254998   
24700  0.000913  1.254994   
24800  0.000913  1.254990   
24900  0.000913  1.254985   
25000  0.000913  1.254981   
25100  0.000913  1.254977   
25200  0.000913  1.254973   
25300  0.000913  1.254969   
25400  0.000913  1.254965   
25500  0.000913  1.254960   
25600  0.000913  1.254956   
25700  0.000913  1.254952   
25800  0.000913  1.254947   
25900  0.000913  1.254943   
26000  0.000913  1.254938   
26100  0.000913  1.254934   
26200  0.000913  1.254929   
26300  0.000913  1.254925   
26400  0.000913  1.254920   
26500  0.000913  1.254916   
26600  0.000913  1.254911   
26700  0.000913  1.254906   
26800  0.000913  1.254902   
26900  0.000913  1.254897   
27000  0.000913  1.254893   
27100  0.000913  1.254888   
27200  0.000913  1.254883   
27300  0.000913  1.254879   
27400  0.000913  1.254874   
27500  0.000913  1.254869   
27600  0.000913  1.254865   
27700  0.000913  1.254860   
27800  0.000913  1.254856   
27900  0.000913  1.254851   
28000  0.000913  1.254846   
28100  0.000913  1.254842   
28200  0.000913  1.254837   
28300  0.000913  1.254833   
28400  0.000913  1.254828   
28500  0.000913  1.254824   
28600  0.000913  1.254819   
28700  0.000913  1.254815   
28800  0.000913  1.254811   
28900  0.000913  1.254806   
29000  0.000913  1.254802   
29100  0.000913  1.254798   
29200  0.000913  1.254794   
29300  0.000913  1.254789   
29400  0.000913  1.254785   
29500  0.000913  1.254781   
29600  0.000913  1.254777   
29700  0.000913  1.254774   
29800  0.000913  1.254770   
29900  0.000913  1.254766   
30000  0.000913  1.254762   
