time    position0   position1   position2   position3   
0  [12.5,9.5,]      [6.5,9.5,]      [9.5,12.5,]      [9.5,6.5,]      
100  [12.5,9.50401,]      [6.5,9.49599,]      [9.49586,12.5,]      [9.50414,6.5,]      
200  [12.5,9.50801,]      [6.5,9.49199,]      [9.49172,12.5,]      [9.50828,6.5,]      
300  [12.5,9.51202,]      [6.50001,9.48798,]      [9.48758,12.5,]      [9.51242,6.50001,]      
400  [12.5,9.51603,]      [6.50002,9.48397,]      [9.48344,12.5,]      [9.51656,6.50002,]      
500  [12.5,9.52004,]      [6.50003,9.47996,]      [9.4793,12.5,]      [9.5207,6.50002,]      
600  [12.5,9.52404,]      [6.50004,9.47596,]      [9.47515,12.5,]      [9.52485,6.50003,]      
700  [12.4999,9.52805,]      [6.50006,9.47195,]      [9.47101,12.5,]      [9.52899,6.50005,]      
800  [12.4999,9.53206,]      [6.50007,9.46794,]      [9.46687,12.4999,]      [9.53313,6.50006,]      
900  [12.4999,9.53607,]      [6.50009,9.46393,]      [9.46273,12.4999,]      [9.53727,6.50008,]      
1000  [12.4999,9.54007,]      [6.50012,9.45993,]      [9.45859,12.4999,]      [9.54141,6.5001,]      
1100  [12.4999,9.54408,]      [6.50014,9.45592,]      [9.45445,12.4999,]      [9.54555,6.50012,]      
1200  [12.4998,9.54809,]      [6.50017,9.45191,]      [9.45031,12.4999,]      [9.54969,6.50014,]      
1300  [12.4998,9.5521,]      [6.5002,9.4479,]      [9.44616,12.4998,]      [9.55384,6.50016,]      
1400  [12.4998,9.55611,]      [6.50023,9.44389,]      [9.44202,12.4998,]      [9.55798,6.50019,]      
1500  [12.4997,9.56012,]      [6.50026,9.43988,]      [9.43788,12.4998,]      [9.56212,6.50022,]      
1600  [12.4997,9.56412,]      [6.5003,9.43588,]      [9.43374,12.4998,]      [9.56626,6.50025,]      
1700  [12.4997,9.56813,]      [6.50033,9.43187,]      [9.4296,12.4997,]      [9.5704,6.50028,]      
1800  [12.4996,9.57214,]      [6.50037,9.42786,]      [9.42545,12.4997,]      [9.57455,6.50031,]      
1900  [12.4996,9.57615,]      [6.50042,9.42385,]      [9.42131,12.4997,]      [9.57869,6.50035,]      
2000  [12.4995,9.58016,]      [6.50046,9.41984,]      [9.41717,12.4996,]      [9.58283,6.50039,]      
2100  [12.4995,9.58417,]      [6.50051,9.41583,]      [9.41302,12.4996,]      [9.58698,6.50043,]      
2200  [12.4994,9.58818,]      [6.50056,9.41182,]      [9.40888,12.4995,]      [9.59112,6.50047,]      
2300  [12.4994,9.59219,]      [6.50061,9.40781,]      [9.40473,12.4995,]      [9.59527,6.50051,]      
2400  [12.4993,9.5962,]      [6.50066,9.4038,]      [9.40059,12.4994,]      [9.59941,6.50056,]      
2500  [12.4993,9.60021,]      [6.50072,9.39979,]      [9.39644,12.4994,]      [9.60356,6.5006,]      
2600  [12.4992,9.60422,]      [6.50078,9.39578,]      [9.3923,12.4993,]      [9.6077,6.50065,]      
2700  [12.4992,9.60823,]      [6.50084,9.39177,]      [9.38815,12.4993,]      [9.61185,6.5007,]      
2800  [12.4991,9.61225,]      [6.5009,9.38775,]      [9.38401,12.4992,]      [9.61599,6.50075,]      
2900  [12.499,9.61626,]      [6.50097,9.38374,]      [9.37986,12.4992,]      [9.62014,6.50081,]      
3000  [12.499,9.62027,]      [6.50103,9.37973,]      [9.37571,12.4991,]      [9.62429,6.50087,]      
3100  [12.4989,9.62428,]      [6.5011,9.37572,]      [9.37157,12.4991,]      [9.62843,6.50092,]      
3200  [12.4988,9.6283,]      [6.50117,9.3717,]      [9.36742,12.499,]      [9.63258,6.50098,]      
3300  [12.4988,9.63231,]      [6.50125,9.36769,]      [9.36327,12.499,]      [9.63673,6.50105,]      
3400  [12.4987,9.63632,]      [6.50132,9.36368,]      [9.35912,12.4989,]      [9.64088,6.50111,]      
3500  [12.4986,9.64034,]      [6.5014,9.35966,]      [9.35497,12.4988,]      [9.64503,6.50117,]      
3600  [12.4985,9.64435,]      [6.50148,9.35565,]      [9.35082,12.4988,]      [9.64918,6.50124,]      
3700  [12.4984,9.64837,]      [6.50156,9.35163,]      [9.34667,12.4987,]      [9.65333,6.50131,]      
3800  [12.4984,9.65238,]      [6.50165,9.34762,]      [9.34252,12.4986,]      [9.65748,6.50138,]      
3900  [12.4983,9.6564,]      [6.50173,9.3436,]      [9.33837,12.4985,]      [9.66163,6.50145,]      
4000  [12.4982,9.66042,]      [6.50182,9.33958,]      [9.33422,12.4985,]      [9.66578,6.50153,]      
4100  [12.4981,9.66444,]      [6.50191,9.33556,]      [9.33007,12.4984,]      [9.66993,6.5016,]      
4200  [12.498,9.66845,]      [6.50201,9.33155,]      [9.32592,12.4983,]      [9.67408,6.50168,]      
4300  [12.4979,9.67247,]      [6.5021,9.32753,]      [9.32176,12.4982,]      [9.67824,6.50176,]      
4400  [12.4978,9.67649,]      [6.5022,9.32351,]      [9.31761,12.4982,]      [9.68239,6.50184,]      
4500  [12.4977,9.68051,]      [6.5023,9.31949,]      [9.31345,12.4981,]      [9.68655,6.50193,]      
4600  [12.4976,9.68453,]      [6.5024,9.31547,]      [9.3093,12.498,]      [9.6907,6.50201,]      
4700  [12.4975,9.68855,]      [6.5025,9.31145,]      [9.30514,12.4979,]      [9.69486,6.5021,]      
4800  [12.4974,9.69257,]      [6.50261,9.30743,]      [9.30099,12.4978,]      [9.69901,6.50219,]      
4900  [12.4973,9.69659,]      [6.50272,9.30341,]      [9.29683,12.4977,]      [9.70317,6.50228,]      
5000  [12.4972,9.70062,]      [6.50282,9.29938,]      [9.29267,12.4976,]      [9.70733,6.50237,]      
5100  [12.4971,9.70464,]      [6.50294,9.29536,]      [9.28851,12.4975,]      [9.71149,6.50246,]      
5200  [12.497,9.70866,]      [6.50305,9.29134,]      [9.28435,12.4974,]      [9.71565,6.50256,]      
5300  [12.4968,9.71269,]      [6.50316,9.28731,]      [9.28019,12.4973,]      [9.71981,6.50265,]      
5400  [12.4967,9.71671,]      [6.50328,9.28329,]      [9.27603,12.4972,]      [9.72397,6.50275,]      
5500  [12.4966,9.72074,]      [6.5034,9.27926,]      [9.27187,12.4971,]      [9.72813,6.50285,]      
5600  [12.4965,9.72477,]      [6.50352,9.27523,]      [9.26771,12.497,]      [9.73229,6.50295,]      
5700  [12.4964,9.7288,]      [6.50365,9.2712,]      [9.26354,12.4969,]      [9.73646,6.50306,]      
5800  [12.4962,9.73282,]      [6.50377,9.26718,]      [9.25938,12.4968,]      [9.74062,6.50316,]      
5900  [12.4961,9.73685,]      [6.5039,9.26315,]      [9.25521,12.4967,]      [9.74479,6.50327,]      
6000  [12.496,9.74088,]      [6.50403,9.25912,]      [9.25105,12.4966,]      [9.74895,6.50337,]      
6100  [12.4958,9.74491,]      [6.50416,9.25509,]      [9.24688,12.4965,]      [9.75312,6.50348,]      
6200  [12.4957,9.74895,]      [6.50429,9.25105,]      [9.24271,12.4964,]      [9.75729,6.50359,]      
6300  [12.4956,9.75298,]      [6.50442,9.24702,]      [9.23854,12.4963,]      [9.76146,6.50371,]      
6400  [12.4954,9.75701,]      [6.50456,9.24299,]      [9.23437,12.4962,]      [9.76563,6.50382,]      
6500  [12.4953,9.76105,]      [6.5047,9.23895,]      [9.2302,12.4961,]      [9.7698,6.50394,]      
6600  [12.4952,9.76508,]      [6.50484,9.23492,]      [9.22603,12.4959,]      [9.77397,6.50405,]      
6700  [12.495,9.76912,]      [6.50498,9.23088,]      [9.22186,12.4958,]      [9.77814,6.50417,]      
6800  [12.4949,9.77316,]      [6.50512,9.22684,]      [9.21769,12.4957,]      [9.78231,6.50429,]      
6900  [12.4947,9.77719,]      [6.50527,9.22281,]      [9.21351,12.4956,]      [9.78649,6.50441,]      
7000  [12.4946,9.78123,]      [6.50541,9.21877,]      [9.20933,12.4955,]      [9.79067,6.50453,]      
7100  [12.4944,9.78527,]      [6.50556,9.21473,]      [9.20516,12.4953,]      [9.79484,6.50466,]      
7200  [12.4943,9.78932,]      [6.50571,9.21068,]      [9.20098,12.4952,]      [9.79902,6.50478,]      
7300  [12.4941,9.79336,]      [6.50586,9.20664,]      [9.1968,12.4951,]      [9.8032,6.50491,]      
7400  [12.494,9.7974,]      [6.50602,9.2026,]      [9.19262,12.495,]      [9.80738,6.50504,]      
7500  [12.4938,9.80145,]      [6.50617,9.19855,]      [9.18844,12.4948,]      [9.81156,6.50517,]      
7600  [12.4937,9.80549,]      [6.50633,9.19451,]      [9.18426,12.4947,]      [9.81574,6.5053,]      
7700  [12.4935,9.80954,]      [6.50649,9.19046,]      [9.18007,12.4946,]      [9.81993,6.50543,]      
