time     loop_value_0    n_0   loop_value_1    n_1   loop_value_2    n_2  
0  0.000731  1.005490   0.000734  1.008759   0.000734  1.009628   
100  0.000731  1.005490   0.000734  1.008759   0.000734  1.009628   
200  0.000731  1.005490   0.000734  1.008759   0.000734  1.009628   
300  0.000731  1.005492   0.000734  1.008759   0.000734  1.009629   
400  0.000731  1.005493   0.000734  1.008759   0.000734  1.009629   
500  0.000731  1.005495   0.000734  1.008759   0.000734  1.009630   
600  0.000731  1.005497   0.000734  1.008759   0.000734  1.009630   
700  0.000731  1.005500   0.000734  1.008759   0.000734  1.009631   
800  0.000731  1.005503   0.000734  1.008759   0.000734  1.009632   
900  0.000731  1.005507   0.000734  1.008759   0.000734  1.009633   
1000  0.000731  1.005511   0.000734  1.008759   0.000734  1.009634   
1100  0.000731  1.005515   0.000734  1.008759   0.000734  1.009635   
1200  0.000731  1.005520   0.000734  1.008759   0.000734  1.009636   
1300  0.000731  1.005525   0.000734  1.008759   0.000734  1.009637   
1400  0.000731  1.005531   0.000734  1.008759   0.000734  1.009639   
1500  0.000731  1.005537   0.000734  1.008759   0.000734  1.009641   
1600  0.000731  1.005543   0.000734  1.008759   0.000734  1.009642   
1700  0.000731  1.005550   0.000734  1.008759   0.000734  1.009644   
1800  0.000731  1.005557   0.000734  1.008759   0.000734  1.009646   
1900  0.000731  1.005565   0.000734  1.008759   0.000734  1.009648   
2000  0.000731  1.005572   0.000734  1.008759   0.000734  1.009650   
2100  0.000731  1.005580   0.000734  1.008759   0.000734  1.009652   
2200  0.000731  1.005589   0.000734  1.008759   0.000734  1.009655   
2300  0.000731  1.005598   0.000734  1.008759   0.000734  1.009657   
2400  0.000731  1.005607   0.000734  1.008758   0.000734  1.009660   
2500  0.000731  1.005616   0.000734  1.008758   0.000734  1.009663   
2600  0.000731  1.005625   0.000734  1.008758   0.000734  1.009665   
2700  0.000731  1.005635   0.000734  1.008758   0.000734  1.009668   
2800  0.000731  1.005645   0.000734  1.008758   0.000734  1.009671   
2900  0.000731  1.005656   0.000734  1.008758   0.000734  1.009675   
3000  0.000731  1.005666   0.000734  1.008758   0.000734  1.009678   
3100  0.000731  1.005677   0.000734  1.008758   0.000734  1.009682   
3200  0.000732  1.005688   0.000734  1.008758   0.000734  1.009685   
3300  0.000732  1.005699   0.000734  1.008758   0.000734  1.009689   
3400  0.000732  1.005710   0.000734  1.008758   0.000734  1.009693   
3500  0.000732  1.005721   0.000734  1.008758   0.000734  1.009697   
3600  0.000732  1.005733   0.000734  1.008758   0.000734  1.009701   
3700  0.000732  1.005744   0.000734  1.008757   0.000734  1.009705   
3800  0.000732  1.005756   0.000734  1.008757   0.000734  1.009710   
3900  0.000732  1.005767   0.000734  1.008757   0.000734  1.009714   
4000  0.000732  1.005779   0.000734  1.008757   0.000734  1.009719   
4100  0.000732  1.005791   0.000734  1.008757   0.000734  1.009724   
4200  0.000732  1.005803   0.000734  1.008757   0.000734  1.009729   
4300  0.000732  1.005814   0.000734  1.008757   0.000734  1.009734   
4400  0.000732  1.005826   0.000734  1.008756   0.000734  1.009739   
4500  0.000732  1.005837   0.000734  1.008756   0.000734  1.009744   
4600  0.000732  1.005849   0.000734  1.008756   0.000734  1.009750   
4700  0.000732  1.005860   0.000734  1.008756   0.000734  1.009755   
4800  0.000732  1.005872   0.000734  1.008756   0.000734  1.009761   
4900  0.000732  1.005883   0.000734  1.008756   0.000734  1.009767   
5000  0.000732  1.005894   0.000734  1.008756   0.000734  1.009772   
5100  0.000732  1.005904   0.000734  1.008756   0.000734  1.009779   
5200  0.000732  1.005915   0.000734  1.008756   0.000734  1.009785   
5300  0.000732  1.005925   0.000734  1.008756   0.000734  1.009791   
5400  0.000732  1.005935   0.000734  1.008756   0.000734  1.009797   
5500  0.000732  1.005945   0.000734  1.008756   0.000735  1.009804   
5600  0.000732  1.005954   0.000734  1.008756   0.000735  1.009810   
5700  0.000732  1.005963   0.000734  1.008757   0.000735  1.009817   
5800  0.000732  1.005972   0.000734  1.008757   0.000735  1.009824   
5900  0.000732  1.005980   0.000734  1.008757   0.000735  1.009831   
6000  0.000732  1.005988   0.000734  1.008758   0.000735  1.009837   
6100  0.000732  1.005996   0.000734  1.008758   0.000735  1.009845   
6200  0.000732  1.006003   0.000734  1.008759   0.000735  1.009852   
6300  0.000732  1.006010   0.000734  1.008759   0.000735  1.009859   
6400  0.000732  1.006016   0.000734  1.008760   0.000735  1.009866   
6500  0.000732  1.006022   0.000734  1.008761   0.000735  1.009874   
6600  0.000732  1.006027   0.000734  1.008762   0.000735  1.009881   
6700  0.000732  1.006032   0.000734  1.008763   0.000735  1.009889   
6800  0.000732  1.006036   0.000734  1.008764   0.000735  1.009896   
6900  0.000732  1.006039   0.000734  1.008765   0.000735  1.009904   
7000  0.000732  1.006043   0.000734  1.008766   0.000735  1.009912   
7100  0.000732  1.006045   0.000734  1.008767   0.000735  1.009920   
7200  0.000732  1.006047   0.000734  1.008768   0.000735  1.009927   
7300  0.000732  1.006048   0.000734  1.008769   0.000735  1.009935   
7400  0.000732  1.006048   0.000734  1.008771   0.000735  1.009944   
7500  0.000732  1.006048   0.000734  1.008772   0.000735  1.009952   
7600  0.000732  1.006047   0.000734  1.008774   0.000735  1.009960   
7700  0.000732  1.006046   0.000734  1.008775   0.000735  1.009968   
7800  0.000732  1.006043   0.000734  1.008777   0.000735  1.009977   
7900  0.000732  1.006040   0.000734  1.008779   0.000735  1.009985   
8000  0.000732  1.006036   0.000734  1.008781   0.000735  1.009993   
8100  0.000732  1.006032   0.000734  1.008782   0.000735  1.010002   
8200  0.000732  1.006026   0.000734  1.008784   0.000735  1.010011   
8300  0.000732  1.006020   0.000734  1.008786   0.000735  1.010019   
8400  0.000732  1.006013   0.000734  1.008788   0.000735  1.010028   
8500  0.000732  1.006005   0.000734  1.008790   0.000735  1.010037   
8600  0.000732  1.005996   0.000734  1.008792   0.000735  1.010046   
8700  0.000732  1.005986   0.000734  1.008794   0.000735  1.010055   
8800  0.000732  1.005975   0.000734  1.008797   0.000735  1.010064   
8900  0.000732  1.005963   0.000734  1.008799   0.000735  1.010073   
9000  0.000732  1.005951   0.000734  1.008801   0.000735  1.010082   
9100  0.000732  1.005937   0.000734  1.008803   0.000735  1.010091   
9200  0.000732  1.005922   0.000734  1.008806   0.000735  1.010100   
9300  0.000732  1.005907   0.000734  1.008808   0.000735  1.010110   
9400  0.000732  1.005890   0.000734  1.008810   0.000735  1.010119   
9500  0.000732  1.005872   0.000734  1.008813   0.000735  1.010128   
9600  0.000732  1.005853   0.000734  1.008815   0.000735  1.010138   
9700  0.000732  1.005833   0.000734  1.008818   0.000735  1.010147   
9800  0.000732  1.005812   0.000734  1.008820   0.000735  1.010157   
9900  0.000732  1.005790   0.000734  1.008822   0.000735  1.010167   
10000  0.000732  1.005766   0.000734  1.008825   0.000735  1.010176   
10100  0.000732  1.005742   0.000734  1.008827   0.000735  1.010186   
10200  0.000732  1.005716   0.000734  1.008830   0.000735  1.010196   
10300  0.000732  1.005689   0.000734  1.008832   0.000735  1.010206   
10400  0.000731  1.005661   0.000734  1.008835   0.000735  1.010215   
10500  0.000731  1.005632   0.000734  1.008838   0.000735  1.010225   
10600  0.000731  1.005601   0.000734  1.008840   0.000735  1.010235   
10700  0.000731  1.005570   0.000734  1.008843   0.000735  1.010245   
10800  0.000731  1.005537   0.000734  1.008845   0.000735  1.010255   
10900  0.000731  1.005503   0.000734  1.008848   0.000735  1.010265   
11000  0.000731  1.005468   0.000734  1.008851   0.000735  1.010275   
11100  0.000731  1.005431   0.000734  1.008853   0.000735  1.010286   
11200  0.000731  1.005393   0.000734  1.008856   0.000735  1.010296   
11300  0.000731  1.005354   0.000734  1.008858   0.000735  1.010306   
11400  0.000731  1.005314   0.000734  1.008861   0.000735  1.010316   
11500  0.000731  1.005273   0.000734  1.008864   0.000735  1.010326   
11600  0.000731  1.005230   0.000734  1.008867   0.000735  1.010337   
11700  0.000731  1.005186   0.000734  1.008869   0.000735  1.010347   
11800  0.000731  1.005141   0.000734  1.008872   0.000735  1.010357   
11900  0.000731  1.005095   0.000734  1.008875   0.000735  1.010367   
12000  0.000731  1.005047   0.000734  1.008877   0.000735  1.010378   
12100  0.000731  1.004999   0.000734  1.008880   0.000735  1.010388   
12200  0.000731  1.004949   0.000734  1.008883   0.000735  1.010398   
12300  0.000731  1.004897   0.000734  1.008886   0.000735  1.010409   
12400  0.000731  1.004845   0.000734  1.008888   0.000735  1.010419   
12500  0.000731  1.004791   0.000734  1.008891   0.000735  1.010430   
12600  0.000731  1.004736   0.000734  1.008894   0.000735  1.010440   
12700  0.000731  1.004680   0.000734  1.008897   0.000735  1.010450   
12800  0.000731  1.004622   0.000734  1.008900   0.000735  1.010461   
12900  0.000731  1.004564   0.000734  1.008903   0.000735  1.010471   
13000  0.000731  1.004504   0.000734  1.008905   0.000735  1.010482   
13100  0.000731  1.004443   0.000734  1.008908   0.000735  1.010492   
13200  0.000731  1.004381   0.000734  1.008911   0.000735  1.010503   
13300  0.000731  1.004317   0.000734  1.008914   0.000735  1.010513   
13400  0.000730  1.004252   0.000734  1.008917   0.000735  1.010523   
13500  0.000730  1.004186   0.000734  1.008920   0.000735  1.010534   
13600  0.000730  1.004119   0.000734  1.008923   0.000735  1.010544   
13700  0.000730  1.004051   0.000734  1.008926   0.000735  1.010555   
13800  0.000730  1.003982   0.000734  1.008928   0.000735  1.010565   
13900  0.000730  1.003911   0.000734  1.008931   0.000735  1.010575   
14000  0.000730  1.003839   0.000734  1.008934   0.000735  1.010586   
14100  0.000730  1.003766   0.000734  1.008937   0.000735  1.010596   
14200  0.000730  1.003692   0.000734  1.008939   0.000735  1.010607   
14300  0.000730  1.003617   0.000734  1.008942   0.000735  1.010617   
14400  0.000730  1.003540   0.000734  1.008945   0.000735  1.010627   
14500  0.000730  1.003463   0.000734  1.008947   0.000735  1.010638   
14600  0.000730  1.003384   0.000734  1.008950   0.000735  1.010648   
14700  0.000730  1.003305   0.000734  1.008952   0.000735  1.010658   
14800  0.000730  1.003224   0.000734  1.008955   0.000735  1.010669   
14900  0.000730  1.003142   0.000734  1.008957   0.000735  1.010679   
15000  0.000730  1.003060   0.000734  1.008959   0.000735  1.010690   
15100  0.000730  1.002976   0.000734  1.008961   0.000735  1.010700   
15200  0.000729  1.002891   0.000734  1.008963   0.000735  1.010710   
15300  0.000729  1.002806   0.000734  1.008965   0.000735  1.010721   
15400  0.000729  1.002719   0.000734  1.008967   0.000735  1.010731   
15500  0.000729  1.002631   0.000734  1.008969   0.000735  1.010741   
15600  0.000729  1.002543   0.000734  1.008971   0.000735  1.010752   
15700  0.000729  1.002453   0.000734  1.008972   0.000735  1.010762   
15800  0.000729  1.002363   0.000734  1.008973   0.000735  1.010772   
15900  0.000729  1.002272   0.000734  1.008975   0.000735  1.010783   
16000  0.000729  1.002180   0.000734  1.008976   0.000735  1.010793   
16100  0.000729  1.002087   0.000734  1.008977   0.000735  1.010803   
16200  0.000729  1.001994   0.000734  1.008977   0.000735  1.010814   
16300  0.000729  1.001900   0.000734  1.008978   0.000735  1.010824   
16400  0.000729  1.001805   0.000734  1.008979   0.000735  1.010834   
16500  0.000729  1.001709   0.000734  1.008979   0.000735  1.010844   
16600  0.000729  1.001613   0.000734  1.008979   0.000735  1.010855   
16700  0.000728  1.001516   0.000734  1.008979   0.000735  1.010865   
16800  0.000728  1.001418   0.000734  1.008979   0.000735  1.010875   
16900  0.000728  1.001320   0.000734  1.008978   0.000735  1.010885   
17000  0.000728  1.001221   0.000734  1.008978   0.000735  1.010895   
17100  0.000728  1.001122   0.000734  1.008977   0.000735  1.010905   
17200  0.000728  1.001022   0.000734  1.008976   0.000735  1.010916   
17300  0.000728  1.000922   0.000734  1.008975   0.000735  1.010926   
17400  0.000728  1.000821   0.000734  1.008974   0.000735  1.010936   
17500  0.000728  1.000720   0.000734  1.008972   0.000735  1.010946   
17600  0.000728  1.000619   0.000734  1.008970   0.000735  1.010955   
17700  0.000728  1.000517   0.000734  1.008968   0.000735  1.010965   
17800  0.000728  1.000414   0.000734  1.008966   0.000735  1.010975   
17900  0.000728  1.000312   0.000734  1.008964   0.000735  1.010985   
18000  0.000728  1.000209   0.000734  1.008961   0.000735  1.010995   
18100  0.000727  1.000105   0.000734  1.008959   0.000735  1.011004   
18200  0.000727  1.000002   0.000734  1.008956   0.000735  1.011014   
18300  0.000727  0.999898   0.000734  1.008952   0.000735  1.011023   
18400  0.000727  0.999794   0.000734  1.008949   0.000735  1.011033   
18500  0.000727  0.999690   0.000734  1.008945   0.000735  1.011042   
18600  0.000727  0.999586   0.000734  1.008941   0.000735  1.011051   
18700  0.000727  0.999482   0.000734  1.008937   0.000735  1.011061   
18800  0.000727  0.999377   0.000734  1.008933   0.000735  1.011070   
18900  0.000727  0.999273   0.000734  1.008928   0.000735  1.011079   
19000  0.000727  0.999169   0.000734  1.008924   0.000735  1.011088   
19100  0.000727  0.999064   0.000734  1.008919   0.000735  1.011097   
19200  0.000727  0.998960   0.000734  1.008913   0.000735  1.011106   
19300  0.000727  0.998855   0.000734  1.008908   0.000735  1.011114   
19400  0.000726  0.998751   0.000734  1.008902   0.000735  1.011123   
19500  0.000726  0.998647   0.000734  1.008896   0.000735  1.011131   
19600  0.000726  0.998543   0.000734  1.008890   0.000735  1.011140   
19700  0.000726  0.998439   0.000734  1.008883   0.000735  1.011148   
19800  0.000726  0.998335   0.000734  1.008876   0.000735  1.011157   
19900  0.000726  0.998232   0.000734  1.008869   0.000735  1.011165   
20000  0.000726  0.998130   0.000734  1.008862   0.000735  1.011173   
