time     loop_value_0    n_0   loop_value_1    n_1   loop_value_2    n_2  
0  0.000724  0.995534   0.000726  0.998771   0.000727  0.999632   
100  0.000724  0.995534   0.000726  0.998771   0.000727  0.999632   
200  0.000724  0.995535   0.000726  0.998771   0.000727  0.999632   
300  0.000724  0.995536   0.000726  0.998771   0.000727  0.999632   
400  0.000724  0.995538   0.000726  0.998771   0.000727  0.999633   
500  0.000724  0.995540   0.000726  0.998771   0.000727  0.999633   
600  0.000724  0.995542   0.000726  0.998771   0.000727  0.999634   
700  0.000724  0.995545   0.000726  0.998771   0.000727  0.999635   
800  0.000724  0.995548   0.000726  0.998771   0.000727  0.999636   
900  0.000724  0.995552   0.000726  0.998771   0.000727  0.999637   
1000  0.000724  0.995556   0.000726  0.998771   0.000727  0.999638   
1100  0.000724  0.995561   0.000726  0.998771   0.000727  0.999639   
1200  0.000724  0.995566   0.000726  0.998771   0.000727  0.999641   
1300  0.000724  0.995571   0.000726  0.998770   0.000727  0.999642   
1400  0.000724  0.995577   0.000726  0.998770   0.000727  0.999644   
1500  0.000724  0.995583   0.000726  0.998770   0.000727  0.999646   
1600  0.000724  0.995590   0.000726  0.998770   0.000727  0.999647   
1700  0.000724  0.995597   0.000726  0.998770   0.000727  0.999649   
1800  0.000724  0.995604   0.000726  0.998770   0.000727  0.999652   
1900  0.000724  0.995612   0.000726  0.998770   0.000727  0.999654   
2000  0.000724  0.995620   0.000726  0.998770   0.000727  0.999656   
2100  0.000724  0.995628   0.000726  0.998770   0.000727  0.999659   
2200  0.000724  0.995637   0.000726  0.998770   0.000727  0.999661   
2300  0.000724  0.995646   0.000726  0.998770   0.000727  0.999664   
2400  0.000724  0.995655   0.000726  0.998770   0.000727  0.999667   
2500  0.000724  0.995665   0.000726  0.998770   0.000727  0.999670   
2600  0.000724  0.995675   0.000726  0.998770   0.000727  0.999673   
2700  0.000724  0.995685   0.000726  0.998770   0.000727  0.999676   
2800  0.000724  0.995695   0.000726  0.998770   0.000727  0.999679   
2900  0.000724  0.995706   0.000726  0.998770   0.000727  0.999683   
3000  0.000724  0.995717   0.000726  0.998770   0.000727  0.999686   
3100  0.000724  0.995728   0.000726  0.998770   0.000727  0.999690   
3200  0.000724  0.995739   0.000726  0.998770   0.000727  0.999694   
3300  0.000724  0.995750   0.000726  0.998770   0.000727  0.999697   
3400  0.000724  0.995762   0.000726  0.998770   0.000727  0.999701   
3500  0.000724  0.995774   0.000726  0.998770   0.000727  0.999706   
3600  0.000724  0.995785   0.000726  0.998770   0.000727  0.999710   
3700  0.000724  0.995797   0.000726  0.998770   0.000727  0.999714   
3800  0.000724  0.995809   0.000726  0.998770   0.000727  0.999718   
3900  0.000724  0.995821   0.000726  0.998770   0.000727  0.999723   
4000  0.000724  0.995833   0.000726  0.998771   0.000727  0.999728   
4100  0.000724  0.995845   0.000726  0.998771   0.000727  0.999732   
4200  0.000724  0.995857   0.000726  0.998771   0.000727  0.999737   
4300  0.000724  0.995869   0.000726  0.998771   0.000727  0.999742   
4400  0.000724  0.995882   0.000726  0.998771   0.000727  0.999747   
4500  0.000724  0.995893   0.000726  0.998772   0.000727  0.999753   
4600  0.000724  0.995905   0.000726  0.998772   0.000727  0.999758   
4700  0.000724  0.995917   0.000726  0.998772   0.000727  0.999763   
4800  0.000724  0.995929   0.000726  0.998773   0.000727  0.999769   
4900  0.000724  0.995940   0.000726  0.998773   0.000727  0.999774   
5000  0.000724  0.995952   0.000726  0.998773   0.000727  0.999780   
5100  0.000724  0.995963   0.000726  0.998774   0.000727  0.999786   
5200  0.000724  0.995974   0.000726  0.998774   0.000727  0.999792   
5300  0.000724  0.995985   0.000726  0.998775   0.000727  0.999798   
5400  0.000724  0.995995   0.000726  0.998775   0.000727  0.999804   
5500  0.000724  0.996005   0.000726  0.998776   0.000727  0.999810   
5600  0.000724  0.996015   0.000726  0.998776   0.000727  0.999816   
5700  0.000724  0.996025   0.000726  0.998777   0.000727  0.999823   
5800  0.000724  0.996034   0.000726  0.998778   0.000727  0.999829   
5900  0.000724  0.996043   0.000726  0.998778   0.000727  0.999836   
6000  0.000724  0.996052   0.000726  0.998779   0.000727  0.999843   
6100  0.000725  0.996060   0.000726  0.998780   0.000727  0.999849   
6200  0.000725  0.996067   0.000726  0.998781   0.000727  0.999856   
6300  0.000725  0.996075   0.000726  0.998782   0.000727  0.999863   
6400  0.000725  0.996081   0.000726  0.998783   0.000727  0.999870   
6500  0.000725  0.996088   0.000726  0.998784   0.000727  0.999878   
6600  0.000725  0.996093   0.000726  0.998785   0.000727  0.999885   
6700  0.000725  0.996098   0.000726  0.998786   0.000727  0.999892   
6800  0.000725  0.996103   0.000726  0.998787   0.000727  0.999900   
6900  0.000725  0.996107   0.000726  0.998788   0.000727  0.999907   
7000  0.000725  0.996111   0.000726  0.998789   0.000727  0.999915   
7100  0.000725  0.996113   0.000726  0.998790   0.000727  0.999922   
7200  0.000725  0.996115   0.000726  0.998791   0.000727  0.999930   
7300  0.000725  0.996117   0.000726  0.998793   0.000727  0.999938   
7400  0.000725  0.996118   0.000726  0.998794   0.000727  0.999946   
7500  0.000725  0.996118   0.000726  0.998796   0.000727  0.999954   
7600  0.000725  0.996117   0.000726  0.998797   0.000727  0.999962   
7700  0.000725  0.996115   0.000726  0.998799   0.000727  0.999970   
7800  0.000725  0.996113   0.000726  0.998800   0.000727  0.999978   
7900  0.000725  0.996110   0.000726  0.998802   0.000727  0.999987   
8000  0.000725  0.996106   0.000727  0.998803   0.000727  0.999995   
8100  0.000725  0.996101   0.000727  0.998805   0.000727  1.000004   
8200  0.000725  0.996095   0.000727  0.998807   0.000727  1.000012   
8300  0.000725  0.996089   0.000727  0.998809   0.000727  1.000021   
8400  0.000725  0.996081   0.000727  0.998811   0.000727  1.000029   
8500  0.000725  0.996073   0.000727  0.998812   0.000727  1.000038   
8600  0.000725  0.996064   0.000727  0.998814   0.000727  1.000047   
8700  0.000724  0.996053   0.000727  0.998816   0.000727  1.000056   
8800  0.000724  0.996042   0.000727  0.998819   0.000727  1.000065   
8900  0.000724  0.996030   0.000727  0.998821   0.000727  1.000074   
9000  0.000724  0.996016   0.000727  0.998823   0.000727  1.000083   
9100  0.000724  0.996002   0.000727  0.998825   0.000727  1.000092   
9200  0.000724  0.995987   0.000727  0.998827   0.000727  1.000101   
9300  0.000724  0.995970   0.000727  0.998830   0.000727  1.000111   
9400  0.000724  0.995953   0.000727  0.998832   0.000727  1.000120   
9500  0.000724  0.995934   0.000727  0.998834   0.000727  1.000129   
9600  0.000724  0.995914   0.000727  0.998837   0.000727  1.000139   
9700  0.000724  0.995893   0.000727  0.998839   0.000727  1.000148   
9800  0.000724  0.995871   0.000727  0.998842   0.000727  1.000158   
9900  0.000724  0.995848   0.000727  0.998844   0.000727  1.000167   
10000  0.000724  0.995823   0.000727  0.998847   0.000727  1.000177   
10100  0.000724  0.995798   0.000727  0.998850   0.000728  1.000187   
10200  0.000724  0.995771   0.000727  0.998852   0.000728  1.000197   
10300  0.000724  0.995743   0.000727  0.998855   0.000728  1.000206   
10400  0.000724  0.995714   0.000727  0.998858   0.000728  1.000216   
10500  0.000724  0.995683   0.000727  0.998861   0.000728  1.000226   
10600  0.000724  0.995651   0.000727  0.998864   0.000728  1.000236   
10700  0.000724  0.995619   0.000727  0.998866   0.000728  1.000246   
10800  0.000724  0.995584   0.000727  0.998869   0.000728  1.000256   
10900  0.000724  0.995549   0.000727  0.998872   0.000728  1.000266   
11000  0.000724  0.995512   0.000727  0.998875   0.000728  1.000276   
11100  0.000724  0.995474   0.000727  0.998878   0.000728  1.000286   
11200  0.000724  0.995434   0.000727  0.998881   0.000728  1.000297   
11300  0.000724  0.995394   0.000727  0.998884   0.000728  1.000307   
11400  0.000724  0.995352   0.000727  0.998887   0.000728  1.000317   
11500  0.000724  0.995309   0.000727  0.998891   0.000728  1.000327   
11600  0.000724  0.995264   0.000727  0.998894   0.000728  1.000338   
11700  0.000724  0.995218   0.000727  0.998897   0.000728  1.000348   
11800  0.000724  0.995171   0.000727  0.998900   0.000728  1.000358   
11900  0.000724  0.995122   0.000727  0.998903   0.000728  1.000369   
12000  0.000724  0.995072   0.000727  0.998906   0.000728  1.000379   
12100  0.000724  0.995021   0.000727  0.998909   0.000728  1.000390   
12200  0.000724  0.994969   0.000727  0.998913   0.000728  1.000400   
12300  0.000724  0.994915   0.000727  0.998916   0.000728  1.000411   
12400  0.000724  0.994860   0.000727  0.998919   0.000728  1.000421   
12500  0.000724  0.994803   0.000727  0.998922   0.000728  1.000432   
12600  0.000724  0.994745   0.000727  0.998925   0.000728  1.000442   
12700  0.000724  0.994686   0.000727  0.998928   0.000728  1.000453   
12800  0.000723  0.994626   0.000727  0.998932   0.000728  1.000463   
12900  0.000723  0.994564   0.000727  0.998935   0.000728  1.000474   
13000  0.000723  0.994501   0.000727  0.998938   0.000728  1.000485   
13100  0.000723  0.994436   0.000727  0.998941   0.000728  1.000495   
13200  0.000723  0.994371   0.000727  0.998944   0.000728  1.000506   
13300  0.000723  0.994304   0.000727  0.998947   0.000728  1.000517   
13400  0.000723  0.994235   0.000727  0.998950   0.000728  1.000527   
13500  0.000723  0.994166   0.000727  0.998953   0.000728  1.000538   
13600  0.000723  0.994095   0.000727  0.998956   0.000728  1.000548   
13700  0.000723  0.994023   0.000727  0.998959   0.000728  1.000559   
13800  0.000723  0.993950   0.000727  0.998962   0.000728  1.000570   
13900  0.000723  0.993875   0.000727  0.998964   0.000728  1.000580   
14000  0.000723  0.993799   0.000727  0.998967   0.000728  1.000591   
14100  0.000723  0.993722   0.000727  0.998970   0.000728  1.000602   
14200  0.000723  0.993644   0.000727  0.998973   0.000728  1.000612   
14300  0.000723  0.993565   0.000727  0.998975   0.000728  1.000623   
14400  0.000723  0.993484   0.000727  0.998978   0.000728  1.000634   
14500  0.000723  0.993402   0.000727  0.998980   0.000728  1.000644   
14600  0.000723  0.993319   0.000727  0.998982   0.000728  1.000655   
14700  0.000722  0.993235   0.000727  0.998985   0.000728  1.000666   
14800  0.000722  0.993150   0.000727  0.998987   0.000728  1.000676   
14900  0.000722  0.993064   0.000727  0.998989   0.000728  1.000687   
15000  0.000722  0.992977   0.000727  0.998991   0.000728  1.000697   
15100  0.000722  0.992888   0.000727  0.998993   0.000728  1.000708   
15200  0.000722  0.992799   0.000727  0.998995   0.000728  1.000718   
15300  0.000722  0.992708   0.000727  0.998997   0.000728  1.000729   
15400  0.000722  0.992617   0.000727  0.998998   0.000728  1.000739   
15500  0.000722  0.992524   0.000727  0.999000   0.000728  1.000750   
15600  0.000722  0.992431   0.000727  0.999001   0.000728  1.000760   
15700  0.000722  0.992336   0.000727  0.999003   0.000728  1.000771   
15800  0.000722  0.992241   0.000727  0.999004   0.000728  1.000781   
15900  0.000722  0.992145   0.000727  0.999005   0.000728  1.000792   
16000  0.000722  0.992047   0.000727  0.999006   0.000728  1.000802   
16100  0.000722  0.991949   0.000727  0.999007   0.000728  1.000812   
16200  0.000721  0.991850   0.000727  0.999007   0.000728  1.000823   
16300  0.000721  0.991751   0.000727  0.999008   0.000728  1.000833   
16400  0.000721  0.991650   0.000727  0.999008   0.000728  1.000843   
16500  0.000721  0.991549   0.000727  0.999009   0.000728  1.000853   
16600  0.000721  0.991447   0.000727  0.999009   0.000728  1.000863   
16700  0.000721  0.991344   0.000727  0.999009   0.000728  1.000874   
16800  0.000721  0.991240   0.000727  0.999008   0.000728  1.000884   
16900  0.000721  0.991136   0.000727  0.999008   0.000728  1.000894   
17000  0.000721  0.991031   0.000727  0.999007   0.000728  1.000904   
17100  0.000721  0.990926   0.000727  0.999007   0.000728  1.000914   
17200  0.000721  0.990820   0.000727  0.999006   0.000728  1.000924   
17300  0.000721  0.990713   0.000727  0.999005   0.000728  1.000933   
17400  0.000721  0.990606   0.000727  0.999003   0.000728  1.000943   
17500  0.000720  0.990498   0.000727  0.999002   0.000728  1.000953   
17600  0.000720  0.990390   0.000727  0.999000   0.000728  1.000963   
17700  0.000720  0.990282   0.000727  0.998998   0.000728  1.000972   
17800  0.000720  0.990172   0.000727  0.998996   0.000728  1.000982   
17900  0.000720  0.990063   0.000727  0.998994   0.000728  1.000992   
18000  0.000720  0.989953   0.000727  0.998991   0.000728  1.001001   
18100  0.000720  0.989843   0.000727  0.998988   0.000728  1.001011   
18200  0.000720  0.989732   0.000727  0.998985   0.000728  1.001020   
18300  0.000720  0.989621   0.000727  0.998982   0.000728  1.001030   
18400  0.000720  0.989510   0.000727  0.998979   0.000728  1.001039   
18500  0.000720  0.989399   0.000727  0.998975   0.000728  1.001048   
18600  0.000720  0.989287   0.000727  0.998971   0.000728  1.001057   
18700  0.000719  0.989176   0.000727  0.998967   0.000728  1.001066   
18800  0.000719  0.989064   0.000727  0.998963   0.000728  1.001076   
18900  0.000719  0.988952   0.000727  0.998958   0.000728  1.001085   
19000  0.000719  0.988840   0.000727  0.998953   0.000728  1.001094   
19100  0.000719  0.988728   0.000727  0.998948   0.000728  1.001102   
19200  0.000719  0.988615   0.000727  0.998943   0.000728  1.001111   
19300  0.000719  0.988503   0.000727  0.998937   0.000728  1.001120   
19400  0.000719  0.988391   0.000727  0.998931   0.000728  1.001129   
19500  0.000719  0.988279   0.000727  0.998925   0.000728  1.001137   
19600  0.000719  0.988167   0.000727  0.998918   0.000728  1.001146   
19700  0.000719  0.988055   0.000727  0.998912   0.000728  1.001154   
19800  0.000719  0.987943   0.000727  0.998905   0.000728  1.001163   
19900  0.000719  0.987832   0.000727  0.998897   0.000728  1.001171   
20000  0.000718  0.987722   0.000727  0.998890   0.000728  1.001179   
