time    position_0   position_1   position_2   position_3   
0  [12.5,9.5,]      [6.5,9.5,]      [9.5,12.5,]      [9.5,6.5,]      
100  [12.5,9.50321,]      [6.5,9.49679,]      [9.49679,12.5,]      [9.50321,6.5,]      
200  [12.5,9.50641,]      [6.50001,9.49359,]      [9.49359,12.5,]      [9.50641,6.50001,]      
300  [12.5,9.50962,]      [6.50002,9.49038,]      [9.49038,12.5,]      [9.50962,6.50002,]      
400  [12.5,9.51282,]      [6.50003,9.48718,]      [9.48718,12.5,]      [9.51282,6.50003,]      
500  [12.5,9.51603,]      [6.50005,9.48397,]      [9.48397,12.5,]      [9.51603,6.50005,]      
600  [12.4999,9.51923,]      [6.50007,9.48077,]      [9.48077,12.4999,]      [9.51923,6.50007,]      
700  [12.4999,9.52244,]      [6.50009,9.47756,]      [9.47756,12.4999,]      [9.52244,6.50009,]      
800  [12.4999,9.52565,]      [6.50012,9.47435,]      [9.47435,12.4999,]      [9.52565,6.50012,]      
900  [12.4999,9.52885,]      [6.50015,9.47115,]      [9.47115,12.4999,]      [9.52885,6.50015,]      
1000  [12.4998,9.53206,]      [6.50018,9.46794,]      [9.46794,12.4998,]      [9.53206,6.50018,]      
1100  [12.4998,9.53526,]      [6.50022,9.46474,]      [9.46474,12.4998,]      [9.53527,6.50022,]      
1200  [12.4997,9.53847,]      [6.50026,9.46153,]      [9.46153,12.4997,]      [9.53847,6.50026,]      
1300  [12.4997,9.54168,]      [6.50031,9.45832,]      [9.45832,12.4997,]      [9.54168,6.50031,]      
1400  [12.4996,9.54488,]      [6.50036,9.45512,]      [9.45512,12.4996,]      [9.54488,6.50036,]      
1500  [12.4996,9.54809,]      [6.50041,9.45191,]      [9.45191,12.4996,]      [9.54809,6.50041,]      
1600  [12.4995,9.5513,]      [6.50047,9.44871,]      [9.4487,12.4995,]      [9.5513,6.50046,]      
1700  [12.4995,9.5545,]      [6.50053,9.4455,]      [9.4455,12.4995,]      [9.5545,6.50052,]      
1800  [12.4994,9.55771,]      [6.50059,9.44229,]      [9.44229,12.4994,]      [9.55771,6.50059,]      
1900  [12.4993,9.56092,]      [6.50066,9.43909,]      [9.43908,12.4993,]      [9.56092,6.50065,]      
2000  [12.4993,9.56412,]      [6.50073,9.43588,]      [9.43588,12.4993,]      [9.56412,6.50073,]      
2100  [12.4992,9.56733,]      [6.50081,9.43268,]      [9.43267,12.4992,]      [9.56733,6.5008,]      
2200  [12.4991,9.57054,]      [6.50089,9.42947,]      [9.42946,12.4991,]      [9.57054,6.50088,]      
