time     loop_value_0    n_0   loop_value_1    n_1   loop_value_2    n_2  
0  0.000724  0.995534   0.000726  0.998771   0.000727  0.999632   
100  0.000724  0.995535   0.000726  0.998773   0.000727  0.999644   
200  0.000724  0.995535   0.000726  0.998776   0.000727  0.999655   
300  0.000724  0.995537   0.000726  0.998779   0.000727  0.999666   
400  0.000724  0.995538   0.000726  0.998782   0.000727  0.999677   
500  0.000724  0.995541   0.000726  0.998785   0.000727  0.999687   
600  0.000724  0.995543   0.000726  0.998789   0.000727  0.999696   
700  0.000724  0.995546   0.000726  0.998792   0.000727  0.999705   
800  0.000724  0.995550   0.000726  0.998797   0.000727  0.999713   
900  0.000724  0.995554   0.000726  0.998801   0.000727  0.999720   
1000  0.000724  0.995559   0.000727  0.998806   0.000727  0.999726   
1100  0.000724  0.995564   0.000727  0.998811   0.000727  0.999731   
1200  0.000724  0.995569   0.000727  0.998817   0.000727  0.999735   
1300  0.000724  0.995575   0.000727  0.998823   0.000727  0.999737   
1400  0.000724  0.995582   0.000727  0.998829   0.000727  0.999739   
1500  0.000724  0.995588   0.000727  0.998836   0.000727  0.999740   
1600  0.000724  0.995596   0.000727  0.998843   0.000727  0.999739   
1700  0.000724  0.995604   0.000727  0.998850   0.000727  0.999738   
1800  0.000724  0.995612   0.000727  0.998858   0.000727  0.999735   
1900  0.000724  0.995621   0.000727  0.998866   0.000727  0.999731   
2000  0.000724  0.995630   0.000727  0.998874   0.000727  0.999727   
2100  0.000724  0.995639   0.000727  0.998883   0.000727  0.999721   
2200  0.000724  0.995649   0.000727  0.998892   0.000727  0.999715   
2300  0.000724  0.995660   0.000727  0.998901   0.000727  0.999707   
2400  0.000724  0.995671   0.000727  0.998910   0.000727  0.999700   
2500  0.000724  0.995682   0.000727  0.998919   0.000727  0.999691   
2600  0.000724  0.995694   0.000727  0.998928   0.000727  0.999682   
2700  0.000724  0.995706   0.000727  0.998938   0.000727  0.999673   
2800  0.000724  0.995718   0.000727  0.998947   0.000727  0.999664   
2900  0.000724  0.995731   0.000727  0.998957   0.000727  0.999654   
3000  0.000724  0.995744   0.000727  0.998966   0.000727  0.999644   
3100  0.000724  0.995758   0.000727  0.998975   0.000727  0.999635   
3200  0.000724  0.995772   0.000727  0.998984   0.000727  0.999626   
3300  0.000724  0.995786   0.000727  0.998993   0.000727  0.999617   
3400  0.000724  0.995800   0.000727  0.999002   0.000727  0.999608   
