time     loop_value_0    n_0   loop_value_1    n_1   loop_value_2    n_2  
0  0.000724  0.995534   0.000726  0.998771   0.000727  0.999632   
100  0.000724  0.995534   0.000726  0.998771   0.000727  0.999632   
200  0.000724  0.995535   0.000726  0.998771   0.000727  0.999632   
300  0.000724  0.995536   0.000726  0.998771   0.000727  0.999632   
400  0.000724  0.995538   0.000726  0.998771   0.000727  0.999633   
500  0.000724  0.995540   0.000726  0.998771   0.000727  0.999633   
600  0.000724  0.995542   0.000726  0.998771   0.000727  0.999634   
700  0.000724  0.995545   0.000726  0.998771   0.000727  0.999635   
800  0.000724  0.995549   0.000726  0.998771   0.000727  0.999635   
900  0.000724  0.995552   0.000726  0.998771   0.000727  0.999636   
1000  0.000724  0.995557   0.000726  0.998771   0.000727  0.999637   
1100  0.000724  0.995561   0.000726  0.998771   0.000727  0.999638   
1200  0.000724  0.995566   0.000726  0.998771   0.000727  0.999640   
1300  0.000724  0.995572   0.000726  0.998771   0.000727  0.999641   
1400  0.000724  0.995578   0.000726  0.998771   0.000727  0.999642   
1500  0.000724  0.995584   0.000726  0.998771   0.000727  0.999644   
1600  0.000724  0.995590   0.000726  0.998771   0.000727  0.999646   
1700  0.000724  0.995597   0.000726  0.998771   0.000727  0.999648   
1800  0.000724  0.995605   0.000726  0.998771   0.000727  0.999649   
1900  0.000724  0.995613   0.000726  0.998771   0.000727  0.999651   
2000  0.000724  0.995621   0.000726  0.998771   0.000727  0.999654   
2100  0.000724  0.995629   0.000726  0.998771   0.000727  0.999656   
2200  0.000724  0.995638   0.000726  0.998771   0.000727  0.999658   
2300  0.000724  0.995647   0.000726  0.998771   0.000727  0.999661   
2400  0.000724  0.995657   0.000726  0.998771   0.000727  0.999663   
2500  0.000724  0.995666   0.000726  0.998771   0.000727  0.999666   
2600  0.000724  0.995676   0.000726  0.998771   0.000727  0.999669   
2700  0.000724  0.995687   0.000726  0.998771   0.000727  0.999672   
2800  0.000724  0.995697   0.000726  0.998771   0.000727  0.999675   
2900  0.000724  0.995708   0.000726  0.998771   0.000727  0.999678   
3000  0.000724  0.995719   0.000726  0.998771   0.000727  0.999681   
3100  0.000724  0.995730   0.000726  0.998770   0.000727  0.999685   
3200  0.000724  0.995741   0.000726  0.998770   0.000727  0.999688   
3300  0.000724  0.995753   0.000726  0.998770   0.000727  0.999692   
3400  0.000724  0.995764   0.000726  0.998770   0.000727  0.999696   
3500  0.000724  0.995776   0.000726  0.998770   0.000727  0.999700   
3600  0.000724  0.995788   0.000726  0.998770   0.000727  0.999704   
3700  0.000724  0.995800   0.000726  0.998770   0.000727  0.999708   
3800  0.000724  0.995812   0.000726  0.998770   0.000727  0.999713   
3900  0.000724  0.995824   0.000726  0.998770   0.000727  0.999717   
4000  0.000724  0.995837   0.000726  0.998769   0.000727  0.999722   
4100  0.000724  0.995849   0.000726  0.998769   0.000727  0.999726   
4200  0.000724  0.995861   0.000726  0.998769   0.000727  0.999731   
4300  0.000724  0.995873   0.000726  0.998769   0.000727  0.999736   
4400  0.000724  0.995885   0.000726  0.998769   0.000727  0.999741   
4500  0.000724  0.995897   0.000726  0.998769   0.000727  0.999747   
4600  0.000724  0.995909   0.000726  0.998769   0.000727  0.999752   
4700  0.000724  0.995921   0.000726  0.998769   0.000727  0.999758   
4800  0.000724  0.995933   0.000726  0.998769   0.000727  0.999763   
4900  0.000724  0.995944   0.000726  0.998769   0.000727  0.999769   
5000  0.000724  0.995956   0.000726  0.998769   0.000727  0.999775   
5100  0.000724  0.995967   0.000726  0.998769   0.000727  0.999781   
5200  0.000724  0.995978   0.000726  0.998769   0.000727  0.999787   
5300  0.000724  0.995988   0.000726  0.998769   0.000727  0.999793   
5400  0.000724  0.995999   0.000726  0.998769   0.000727  0.999799   
5500  0.000724  0.996009   0.000726  0.998769   0.000727  0.999806   
5600  0.000724  0.996019   0.000726  0.998769   0.000727  0.999812   
5700  0.000724  0.996028   0.000726  0.998770   0.000727  0.999819   
5800  0.000724  0.996037   0.000726  0.998770   0.000727  0.999825   
5900  0.000724  0.996046   0.000726  0.998770   0.000727  0.999832   
6000  0.000725  0.996054   0.000726  0.998771   0.000727  0.999839   
6100  0.000725  0.996062   0.000726  0.998771   0.000727  0.999846   
6200  0.000725  0.996069   0.000726  0.998772   0.000727  0.999853   
6300  0.000725  0.996076   0.000726  0.998773   0.000727  0.999860   
6400  0.000725  0.996082   0.000726  0.998773   0.000727  0.999867   
6500  0.000725  0.996088   0.000726  0.998774   0.000727  0.999875   
6600  0.000725  0.996094   0.000726  0.998775   0.000727  0.999882   
6700  0.000725  0.996098   0.000726  0.998776   0.000727  0.999890   
6800  0.000725  0.996103   0.000726  0.998777   0.000727  0.999897   
6900  0.000725  0.996106   0.000726  0.998778   0.000727  0.999905   
7000  0.000725  0.996109   0.000726  0.998779   0.000727  0.999913   
7100  0.000725  0.996112   0.000726  0.998780   0.000727  0.999920   
7200  0.000725  0.996113   0.000726  0.998782   0.000727  0.999928   
7300  0.000725  0.996114   0.000726  0.998783   0.000727  0.999936   
7400  0.000725  0.996115   0.000726  0.998785   0.000727  0.999944   
7500  0.000725  0.996114   0.000726  0.998786   0.000727  0.999952   
7600  0.000725  0.996113   0.000726  0.998788   0.000727  0.999960   
7700  0.000725  0.996111   0.000726  0.998789   0.000727  0.999969   
7800  0.000725  0.996108   0.000726  0.998791   0.000727  0.999977   
7900  0.000725  0.996105   0.000726  0.998793   0.000727  0.999985   
8000  0.000725  0.996101   0.000726  0.998795   0.000727  0.999994   
8100  0.000725  0.996095   0.000726  0.998797   0.000727  1.000002   
8200  0.000725  0.996089   0.000726  0.998799   0.000727  1.000011   
8300  0.000725  0.996082   0.000726  0.998801   0.000727  1.000019   
8400  0.000725  0.996075   0.000726  0.998803   0.000727  1.000028   
8500  0.000725  0.996066   0.000727  0.998805   0.000727  1.000037   
8600  0.000725  0.996056   0.000727  0.998807   0.000727  1.000045   
8700  0.000724  0.996045   0.000727  0.998809   0.000727  1.000054   
8800  0.000724  0.996034   0.000727  0.998811   0.000727  1.000063   
8900  0.000724  0.996021   0.000727  0.998814   0.000727  1.000072   
9000  0.000724  0.996007   0.000727  0.998816   0.000727  1.000081   
9100  0.000724  0.995993   0.000727  0.998818   0.000727  1.000090   
9200  0.000724  0.995977   0.000727  0.998821   0.000727  1.000099   
9300  0.000724  0.995960   0.000727  0.998823   0.000727  1.000109   
9400  0.000724  0.995942   0.000727  0.998826   0.000727  1.000118   
9500  0.000724  0.995923   0.000727  0.998828   0.000727  1.000127   
9600  0.000724  0.995902   0.000727  0.998831   0.000727  1.000137   
9700  0.000724  0.995881   0.000727  0.998833   0.000727  1.000146   
9800  0.000724  0.995858   0.000727  0.998836   0.000727  1.000155   
9900  0.000724  0.995835   0.000727  0.998838   0.000727  1.000165   
10000  0.000724  0.995810   0.000727  0.998841   0.000727  1.000175   
10100  0.000724  0.995783   0.000727  0.998844   0.000728  1.000184   
10200  0.000724  0.995756   0.000727  0.998846   0.000728  1.000194   
10300  0.000724  0.995727   0.000727  0.998849   0.000728  1.000204   
10400  0.000724  0.995697   0.000727  0.998851   0.000728  1.000213   
10500  0.000724  0.995666   0.000727  0.998854   0.000728  1.000223   
10600  0.000724  0.995634   0.000727  0.998857   0.000728  1.000233   
10700  0.000724  0.995600   0.000727  0.998859   0.000728  1.000243   
10800  0.000724  0.995565   0.000727  0.998862   0.000728  1.000253   
10900  0.000724  0.995529   0.000727  0.998865   0.000728  1.000263   
11000  0.000724  0.995491   0.000727  0.998868   0.000728  1.000273   
11100  0.000724  0.995452   0.000727  0.998870   0.000728  1.000283   
11200  0.000724  0.995412   0.000727  0.998873   0.000728  1.000293   
11300  0.000724  0.995371   0.000727  0.998876   0.000728  1.000303   
11400  0.000724  0.995328   0.000727  0.998879   0.000728  1.000313   
11500  0.000724  0.995284   0.000727  0.998881   0.000728  1.000323   
11600  0.000724  0.995238   0.000727  0.998884   0.000728  1.000333   
11700  0.000724  0.995192   0.000727  0.998887   0.000728  1.000343   
11800  0.000724  0.995144   0.000727  0.998890   0.000728  1.000354   
11900  0.000724  0.995094   0.000727  0.998893   0.000728  1.000364   
12000  0.000724  0.995044   0.000727  0.998896   0.000728  1.000374   
12100  0.000724  0.994992   0.000727  0.998898   0.000728  1.000384   
12200  0.000724  0.994938   0.000727  0.998901   0.000728  1.000394   
12300  0.000724  0.994884   0.000727  0.998904   0.000728  1.000405   
12400  0.000724  0.994828   0.000727  0.998907   0.000728  1.000415   
12500  0.000724  0.994771   0.000727  0.998910   0.000728  1.000425   
12600  0.000724  0.994712   0.000727  0.998913   0.000728  1.000436   
12700  0.000723  0.994652   0.000727  0.998916   0.000728  1.000446   
12800  0.000723  0.994591   0.000727  0.998919   0.000728  1.000456   
12900  0.000723  0.994529   0.000727  0.998922   0.000728  1.000467   
13000  0.000723  0.994465   0.000727  0.998925   0.000728  1.000477   
13100  0.000723  0.994400   0.000727  0.998928   0.000728  1.000487   
13200  0.000723  0.994334   0.000727  0.998931   0.000728  1.000497   
13300  0.000723  0.994266   0.000727  0.998934   0.000728  1.000508   
13400  0.000723  0.994197   0.000727  0.998937   0.000728  1.000518   
13500  0.000723  0.994127   0.000727  0.998940   0.000728  1.000528   
13600  0.000723  0.994055   0.000727  0.998942   0.000728  1.000539   
13700  0.000723  0.993983   0.000727  0.998945   0.000728  1.000549   
13800  0.000723  0.993909   0.000727  0.998948   0.000728  1.000559   
13900  0.000723  0.993834   0.000727  0.998951   0.000728  1.000570   
14000  0.000723  0.993757   0.000727  0.998954   0.000728  1.000580   
14100  0.000723  0.993679   0.000727  0.998957   0.000728  1.000590   
14200  0.000723  0.993600   0.000727  0.998960   0.000728  1.000600   
14300  0.000723  0.993520   0.000727  0.998962   0.000728  1.000611   
14400  0.000723  0.993439   0.000727  0.998965   0.000728  1.000621   
14500  0.000723  0.993357   0.000727  0.998968   0.000728  1.000631   
14600  0.000722  0.993273   0.000727  0.998970   0.000728  1.000642   
14700  0.000722  0.993188   0.000727  0.998973   0.000728  1.000652   
14800  0.000722  0.993102   0.000727  0.998975   0.000728  1.000662   
14900  0.000722  0.993015   0.000727  0.998978   0.000728  1.000672   
15000  0.000722  0.992927   0.000727  0.998980   0.000728  1.000683   
15100  0.000722  0.992838   0.000727  0.998982   0.000728  1.000693   
15200  0.000722  0.992747   0.000727  0.998984   0.000728  1.000703   
15300  0.000722  0.992656   0.000727  0.998986   0.000728  1.000713   
15400  0.000722  0.992564   0.000727  0.998988   0.000728  1.000724   
15500  0.000722  0.992470   0.000727  0.998990   0.000728  1.000734   
15600  0.000722  0.992376   0.000727  0.998991   0.000728  1.000744   
15700  0.000722  0.992281   0.000727  0.998993   0.000728  1.000754   
15800  0.000722  0.992185   0.000727  0.998994   0.000728  1.000764   
15900  0.000722  0.992087   0.000727  0.998995   0.000728  1.000775   
16000  0.000722  0.991989   0.000727  0.998996   0.000728  1.000785   
16100  0.000721  0.991891   0.000727  0.998997   0.000728  1.000795   
16200  0.000721  0.991791   0.000727  0.998998   0.000728  1.000805   
16300  0.000721  0.991690   0.000727  0.998998   0.000728  1.000815   
16400  0.000721  0.991589   0.000727  0.998999   0.000728  1.000825   
16500  0.000721  0.991487   0.000727  0.998999   0.000728  1.000836   
16600  0.000721  0.991384   0.000727  0.998999   0.000728  1.000846   
16700  0.000721  0.991281   0.000727  0.998999   0.000728  1.000856   
16800  0.000721  0.991177   0.000727  0.998998   0.000728  1.000866   
16900  0.000721  0.991072   0.000727  0.998998   0.000728  1.000876   
17000  0.000721  0.990966   0.000727  0.998997   0.000728  1.000886   
17100  0.000721  0.990860   0.000727  0.998996   0.000728  1.000896   
17200  0.000721  0.990754   0.000727  0.998995   0.000728  1.000906   
17300  0.000721  0.990647   0.000727  0.998994   0.000728  1.000916   
17400  0.000720  0.990539   0.000727  0.998992   0.000728  1.000926   
17500  0.000720  0.990431   0.000727  0.998991   0.000728  1.000936   
17600  0.000720  0.990322   0.000727  0.998989   0.000728  1.000946   
17700  0.000720  0.990213   0.000727  0.998987   0.000728  1.000955   
17800  0.000720  0.990104   0.000727  0.998984   0.000728  1.000965   
17900  0.000720  0.989994   0.000727  0.998982   0.000728  1.000975   
18000  0.000720  0.989884   0.000727  0.998979   0.000728  1.000984   
18100  0.000720  0.989773   0.000727  0.998976   0.000728  1.000994   
18200  0.000720  0.989663   0.000727  0.998973   0.000728  1.001003   
18300  0.000720  0.989552   0.000727  0.998969   0.000728  1.001013   
18400  0.000720  0.989440   0.000727  0.998966   0.000728  1.001022   
18500  0.000720  0.989329   0.000727  0.998962   0.000728  1.001031   
18600  0.000720  0.989217   0.000727  0.998957   0.000728  1.001040   
18700  0.000719  0.989106   0.000727  0.998953   0.000728  1.001050   
18800  0.000719  0.988994   0.000727  0.998948   0.000728  1.001059   
18900  0.000719  0.988882   0.000727  0.998943   0.000728  1.001067   
19000  0.000719  0.988770   0.000727  0.998938   0.000728  1.001076   
19100  0.000719  0.988658   0.000727  0.998933   0.000728  1.001085   
19200  0.000719  0.988546   0.000727  0.998927   0.000728  1.001094   
19300  0.000719  0.988434   0.000727  0.998921   0.000728  1.001102   
19400  0.000719  0.988322   0.000727  0.998915   0.000728  1.001111   
19500  0.000719  0.988210   0.000727  0.998909   0.000728  1.001119   
19600  0.000719  0.988099   0.000727  0.998902   0.000728  1.001128   
19700  0.000719  0.987987   0.000727  0.998895   0.000728  1.001136   
19800  0.000719  0.987876   0.000727  0.998888   0.000728  1.001144   
19900  0.000718  0.987765   0.000727  0.998880   0.000728  1.001152   
20000  0.000718  0.987655   0.000727  0.998872   0.000728  1.001160   
