time     loop_value_0    n_0   loop_value_1    n_1   loop_value_2    n_2  
0  0.000731  1.005490   0.000734  1.008759   0.000734  1.009628   
100  0.000731  1.005490   0.000734  1.008759   0.000734  1.009628   
200  0.000731  1.005490   0.000734  1.008759   0.000734  1.009628   
300  0.000731  1.005491   0.000734  1.008759   0.000734  1.009629   
400  0.000731  1.005493   0.000734  1.008759   0.000734  1.009629   
500  0.000731  1.005495   0.000734  1.008758   0.000734  1.009630   
600  0.000731  1.005497   0.000734  1.008758   0.000734  1.009630   
700  0.000731  1.005499   0.000734  1.008758   0.000734  1.009631   
800  0.000731  1.005502   0.000734  1.008758   0.000734  1.009632   
900  0.000731  1.005506   0.000734  1.008758   0.000734  1.009633   
1000  0.000731  1.005509   0.000734  1.008758   0.000734  1.009634   
1100  0.000731  1.005513   0.000734  1.008758   0.000734  1.009636   
1200  0.000731  1.005518   0.000734  1.008758   0.000734  1.009637   
1300  0.000731  1.005523   0.000734  1.008758   0.000734  1.009639   
1400  0.000731  1.005528   0.000734  1.008758   0.000734  1.009640   
1500  0.000731  1.005533   0.000734  1.008758   0.000734  1.009642   
1600  0.000731  1.005539   0.000734  1.008758   0.000734  1.009644   
1700  0.000731  1.005545   0.000734  1.008758   0.000734  1.009646   
1800  0.000731  1.005552   0.000734  1.008758   0.000734  1.009648   
1900  0.000731  1.005559   0.000734  1.008758   0.000734  1.009650   
2000  0.000731  1.005566   0.000734  1.008758   0.000734  1.009653   
2100  0.000731  1.005573   0.000734  1.008758   0.000734  1.009655   
2200  0.000731  1.005581   0.000734  1.008758   0.000734  1.009658   
2300  0.000731  1.005589   0.000734  1.008758   0.000734  1.009661   
2400  0.000731  1.005597   0.000734  1.008758   0.000734  1.009663   
2500  0.000731  1.005606   0.000734  1.008758   0.000734  1.009666   
2600  0.000731  1.005614   0.000734  1.008758   0.000734  1.009669   
2700  0.000731  1.005623   0.000734  1.008758   0.000734  1.009673   
2800  0.000731  1.005632   0.000734  1.008758   0.000734  1.009676   
2900  0.000731  1.005642   0.000734  1.008758   0.000734  1.009679   
3000  0.000731  1.005651   0.000734  1.008758   0.000734  1.009683   
3100  0.000731  1.005661   0.000734  1.008758   0.000734  1.009687   
3200  0.000731  1.005671   0.000734  1.008758   0.000734  1.009691   
3300  0.000732  1.005681   0.000734  1.008758   0.000734  1.009694   
3400  0.000732  1.005691   0.000734  1.008758   0.000734  1.009698   
3500  0.000732  1.005701   0.000734  1.008758   0.000734  1.009703   
3600  0.000732  1.005712   0.000734  1.008758   0.000734  1.009707   
3700  0.000732  1.005722   0.000734  1.008758   0.000734  1.009711   
3800  0.000732  1.005733   0.000734  1.008758   0.000734  1.009716   
3900  0.000732  1.005743   0.000734  1.008758   0.000734  1.009720   
4000  0.000732  1.005754   0.000734  1.008758   0.000734  1.009725   
4100  0.000732  1.005765   0.000734  1.008758   0.000734  1.009730   
4200  0.000732  1.005775   0.000734  1.008759   0.000734  1.009735   
4300  0.000732  1.005786   0.000734  1.008759   0.000734  1.009740   
4400  0.000732  1.005796   0.000734  1.008759   0.000734  1.009745   
4500  0.000732  1.005807   0.000734  1.008759   0.000734  1.009750   
4600  0.000732  1.005817   0.000734  1.008759   0.000734  1.009755   
4700  0.000732  1.005828   0.000734  1.008760   0.000734  1.009761   
4800  0.000732  1.005838   0.000734  1.008760   0.000734  1.009766   
4900  0.000732  1.005848   0.000734  1.008760   0.000734  1.009772   
5000  0.000732  1.005858   0.000734  1.008761   0.000734  1.009778   
5100  0.000732  1.005867   0.000734  1.008761   0.000734  1.009784   
5200  0.000732  1.005877   0.000734  1.008761   0.000734  1.009790   
5300  0.000732  1.005886   0.000734  1.008762   0.000734  1.009796   
5400  0.000732  1.005895   0.000734  1.008762   0.000735  1.009802   
5500  0.000732  1.005904   0.000734  1.008763   0.000735  1.009808   
5600  0.000732  1.005913   0.000734  1.008763   0.000735  1.009815   
5700  0.000732  1.005921   0.000734  1.008764   0.000735  1.009821   
5800  0.000732  1.005929   0.000734  1.008765   0.000735  1.009828   
5900  0.000732  1.005937   0.000734  1.008765   0.000735  1.009834   
6000  0.000732  1.005944   0.000734  1.008766   0.000735  1.009841   
6100  0.000732  1.005951   0.000734  1.008767   0.000735  1.009848   
6200  0.000732  1.005957   0.000734  1.008767   0.000735  1.009855   
6300  0.000732  1.005963   0.000734  1.008768   0.000735  1.009862   
6400  0.000732  1.005969   0.000734  1.008769   0.000735  1.009869   
6500  0.000732  1.005974   0.000734  1.008770   0.000735  1.009876   
6600  0.000732  1.005979   0.000734  1.008771   0.000735  1.009884   
6700  0.000732  1.005983   0.000734  1.008772   0.000735  1.009891   
6800  0.000732  1.005986   0.000734  1.008773   0.000735  1.009899   
6900  0.000732  1.005990   0.000734  1.008774   0.000735  1.009906   
7000  0.000732  1.005992   0.000734  1.008775   0.000735  1.009914   
7100  0.000732  1.005994   0.000734  1.008776   0.000735  1.009922   
7200  0.000732  1.005995   0.000734  1.008777   0.000735  1.009929   
7300  0.000732  1.005996   0.000734  1.008778   0.000735  1.009937   
7400  0.000732  1.005996   0.000734  1.008779   0.000735  1.009945   
7500  0.000732  1.005996   0.000734  1.008781   0.000735  1.009953   
7600  0.000732  1.005994   0.000734  1.008782   0.000735  1.009962   
7700  0.000732  1.005992   0.000734  1.008783   0.000735  1.009970   
7800  0.000732  1.005990   0.000734  1.008785   0.000735  1.009978   
7900  0.000732  1.005986   0.000734  1.008786   0.000735  1.009987   
8000  0.000732  1.005982   0.000734  1.008788   0.000735  1.009995   
8100  0.000732  1.005977   0.000734  1.008789   0.000735  1.010004   
8200  0.000732  1.005972   0.000734  1.008791   0.000735  1.010012   
8300  0.000732  1.005965   0.000734  1.008792   0.000735  1.010021   
8400  0.000732  1.005958   0.000734  1.008794   0.000735  1.010030   
8500  0.000732  1.005949   0.000734  1.008796   0.000735  1.010039   
8600  0.000732  1.005940   0.000734  1.008798   0.000735  1.010047   
8700  0.000732  1.005930   0.000734  1.008799   0.000735  1.010056   
8800  0.000732  1.005919   0.000734  1.008801   0.000735  1.010065   
8900  0.000732  1.005908   0.000734  1.008803   0.000735  1.010075   
9000  0.000732  1.005895   0.000734  1.008805   0.000735  1.010084   
9100  0.000732  1.005881   0.000734  1.008807   0.000735  1.010093   
9200  0.000732  1.005866   0.000734  1.008809   0.000735  1.010102   
9300  0.000732  1.005851   0.000734  1.008811   0.000735  1.010112   
9400  0.000732  1.005834   0.000734  1.008813   0.000735  1.010121   
9500  0.000732  1.005817   0.000734  1.008815   0.000735  1.010131   
9600  0.000732  1.005798   0.000734  1.008818   0.000735  1.010140   
9700  0.000732  1.005778   0.000734  1.008820   0.000735  1.010150   
9800  0.000732  1.005758   0.000734  1.008822   0.000735  1.010159   
9900  0.000732  1.005736   0.000734  1.008824   0.000735  1.010169   
10000  0.000732  1.005713   0.000734  1.008827   0.000735  1.010179   
10100  0.000732  1.005689   0.000734  1.008829   0.000735  1.010189   
10200  0.000731  1.005664   0.000734  1.008832   0.000735  1.010198   
10300  0.000731  1.005638   0.000734  1.008834   0.000735  1.010208   
10400  0.000731  1.005611   0.000734  1.008837   0.000735  1.010218   
10500  0.000731  1.005582   0.000734  1.008839   0.000735  1.010228   
10600  0.000731  1.005553   0.000734  1.008842   0.000735  1.010238   
10700  0.000731  1.005522   0.000734  1.008844   0.000735  1.010248   
10800  0.000731  1.005490   0.000734  1.008847   0.000735  1.010259   
10900  0.000731  1.005457   0.000734  1.008849   0.000735  1.010269   
11000  0.000731  1.005423   0.000734  1.008852   0.000735  1.010279   
11100  0.000731  1.005388   0.000734  1.008855   0.000735  1.010289   
11200  0.000731  1.005352   0.000734  1.008857   0.000735  1.010300   
11300  0.000731  1.005314   0.000734  1.008860   0.000735  1.010310   
11400  0.000731  1.005275   0.000734  1.008863   0.000735  1.010320   
11500  0.000731  1.005235   0.000734  1.008866   0.000735  1.010331   
11600  0.000731  1.005194   0.000734  1.008868   0.000735  1.010341   
11700  0.000731  1.005152   0.000734  1.008871   0.000735  1.010351   
11800  0.000731  1.005108   0.000734  1.008874   0.000735  1.010362   
11900  0.000731  1.005063   0.000734  1.008877   0.000735  1.010372   
12000  0.000731  1.005017   0.000734  1.008880   0.000735  1.010383   
12100  0.000731  1.004970   0.000734  1.008882   0.000735  1.010394   
12200  0.000731  1.004922   0.000734  1.008885   0.000735  1.010404   
12300  0.000731  1.004872   0.000734  1.008888   0.000735  1.010415   
12400  0.000731  1.004821   0.000734  1.008891   0.000735  1.010425   
12500  0.000731  1.004769   0.000734  1.008894   0.000735  1.010436   
12600  0.000731  1.004716   0.000734  1.008896   0.000735  1.010447   
12700  0.000731  1.004662   0.000734  1.008899   0.000735  1.010457   
12800  0.000731  1.004606   0.000734  1.008902   0.000735  1.010468   
12900  0.000731  1.004549   0.000734  1.008905   0.000735  1.010479   
13000  0.000731  1.004491   0.000734  1.008907   0.000735  1.010489   
13100  0.000731  1.004432   0.000734  1.008910   0.000735  1.010500   
13200  0.000731  1.004372   0.000734  1.008913   0.000735  1.010511   
13300  0.000731  1.004310   0.000734  1.008915   0.000735  1.010522   
13400  0.000730  1.004248   0.000734  1.008918   0.000735  1.010532   
13500  0.000730  1.004184   0.000734  1.008920   0.000735  1.010543   
13600  0.000730  1.004119   0.000734  1.008923   0.000735  1.010554   
13700  0.000730  1.004053   0.000734  1.008925   0.000735  1.010565   
13800  0.000730  1.003985   0.000734  1.008928   0.000735  1.010575   
13900  0.000730  1.003917   0.000734  1.008930   0.000735  1.010586   
14000  0.000730  1.003848   0.000734  1.008933   0.000735  1.010597   
14100  0.000730  1.003777   0.000734  1.008935   0.000735  1.010608   
14200  0.000730  1.003705   0.000734  1.008937   0.000735  1.010619   
14300  0.000730  1.003633   0.000734  1.008939   0.000735  1.010629   
14400  0.000730  1.003559   0.000734  1.008942   0.000735  1.010640   
14500  0.000730  1.003484   0.000734  1.008944   0.000735  1.010651   
14600  0.000730  1.003408   0.000734  1.008946   0.000735  1.010662   
14700  0.000730  1.003331   0.000734  1.008947   0.000735  1.010672   
14800  0.000730  1.003253   0.000734  1.008949   0.000735  1.010683   
14900  0.000730  1.003174   0.000734  1.008951   0.000735  1.010694   
15000  0.000730  1.003094   0.000734  1.008953   0.000735  1.010704   
15100  0.000730  1.003014   0.000734  1.008954   0.000735  1.010715   
15200  0.000730  1.002932   0.000734  1.008956   0.000735  1.010726   
15300  0.000729  1.002849   0.000734  1.008957   0.000735  1.010736   
15400  0.000729  1.002765   0.000734  1.008958   0.000735  1.010747   
15500  0.000729  1.002681   0.000734  1.008960   0.000735  1.010757   
15600  0.000729  1.002595   0.000734  1.008961   0.000735  1.010768   
15700  0.000729  1.002509   0.000734  1.008962   0.000735  1.010779   
15800  0.000729  1.002422   0.000734  1.008963   0.000735  1.010789   
15900  0.000729  1.002334   0.000734  1.008963   0.000735  1.010800   
16000  0.000729  1.002245   0.000734  1.008964   0.000735  1.010810   
16100  0.000729  1.002155   0.000734  1.008964   0.000735  1.010820   
16200  0.000729  1.002065   0.000734  1.008965   0.000735  1.010831   
16300  0.000729  1.001974   0.000734  1.008965   0.000735  1.010841   
16400  0.000729  1.001882   0.000734  1.008965   0.000735  1.010852   
16500  0.000729  1.001790   0.000734  1.008965   0.000735  1.010862   
16600  0.000729  1.001696   0.000734  1.008965   0.000735  1.010872   
16700  0.000729  1.001603   0.000734  1.008965   0.000735  1.010882   
16800  0.000728  1.001508   0.000734  1.008964   0.000735  1.010893   
16900  0.000728  1.001413   0.000734  1.008963   0.000735  1.010903   
17000  0.000728  1.001317   0.000734  1.008963   0.000735  1.010913   
17100  0.000728  1.001221   0.000734  1.008962   0.000735  1.010923   
17200  0.000728  1.001125   0.000734  1.008960   0.000735  1.010933   
17300  0.000728  1.001027   0.000734  1.008959   0.000735  1.010943   
17400  0.000728  1.000930   0.000734  1.008958   0.000735  1.010953   
17500  0.000728  1.000831   0.000734  1.008956   0.000735  1.010963   
17600  0.000728  1.000733   0.000734  1.008954   0.000735  1.010973   
17700  0.000728  1.000634   0.000734  1.008952   0.000735  1.010982   
17800  0.000728  1.000534   0.000734  1.008950   0.000735  1.010992   
17900  0.000728  1.000434   0.000734  1.008947   0.000735  1.011002   
18000  0.000728  1.000334   0.000734  1.008945   0.000735  1.011012   
18100  0.000728  1.000234   0.000734  1.008942   0.000735  1.011021   
18200  0.000727  1.000133   0.000734  1.008939   0.000735  1.011031   
18300  0.000727  1.000032   0.000734  1.008936   0.000735  1.011040   
18400  0.000727  0.999931   0.000734  1.008932   0.000735  1.011050   
18500  0.000727  0.999829   0.000734  1.008928   0.000735  1.011059   
18600  0.000727  0.999728   0.000734  1.008925   0.000735  1.011068   
18700  0.000727  0.999626   0.000734  1.008920   0.000735  1.011078   
18800  0.000727  0.999524   0.000734  1.008916   0.000735  1.011087   
18900  0.000727  0.999422   0.000734  1.008912   0.000735  1.011096   
19000  0.000727  0.999320   0.000734  1.008907   0.000735  1.011105   
19100  0.000727  0.999218   0.000734  1.008902   0.000735  1.011114   
19200  0.000727  0.999116   0.000734  1.008896   0.000735  1.011123   
19300  0.000727  0.999014   0.000734  1.008891   0.000735  1.011132   
19400  0.000727  0.998912   0.000734  1.008885   0.000735  1.011141   
19500  0.000727  0.998810   0.000734  1.008879   0.000735  1.011149   
19600  0.000726  0.998708   0.000734  1.008873   0.000735  1.011158   
19700  0.000726  0.998606   0.000734  1.008866   0.000735  1.011167   
19800  0.000726  0.998504   0.000734  1.008859   0.000735  1.011175   
19900  0.000726  0.998403   0.000734  1.008852   0.000736  1.011184   
20000  0.000726  0.998302   0.000734  1.008845   0.000736  1.011192   
