time     loop_value_0    n_0   loop_value_1    n_1   loop_value_2    n_2  
0  -0.000723  -0.994166   -0.000717  -0.986148   0.000708  0.972941   
100  -0.000723  -0.994166   -0.000717  -0.986149   0.000708  0.972940   
200  -0.000723  -0.994166   -0.000717  -0.986150   0.000708  0.972937   
300  -0.000723  -0.994167   -0.000717  -0.986152   0.000708  0.972932   
400  -0.000723  -0.994168   -0.000717  -0.986155   0.000708  0.972925   
500  -0.000723  -0.994169   -0.000717  -0.986159   0.000708  0.972915   
600  -0.000723  -0.994171   -0.000717  -0.986164   0.000708  0.972904   
700  -0.000723  -0.994173   -0.000717  -0.986170   0.000708  0.972891   
800  -0.000723  -0.994175   -0.000717  -0.986177   0.000708  0.972876   
900  -0.000723  -0.994177   -0.000717  -0.986185   0.000708  0.972858   
1000  -0.000723  -0.994180   -0.000717  -0.986193   0.000708  0.972839   
1100  -0.000723  -0.994183   -0.000717  -0.986203   0.000708  0.972817   
1200  -0.000723  -0.994186   -0.000717  -0.986213   0.000708  0.972793   
1300  -0.000723  -0.994190   -0.000717  -0.986224   0.000708  0.972768   
1400  -0.000723  -0.994193   -0.000717  -0.986236   0.000708  0.972740   
1500  -0.000723  -0.994197   -0.000717  -0.986249   0.000708  0.972710   
1600  -0.000723  -0.994201   -0.000717  -0.986263   0.000707  0.972678   
1700  -0.000723  -0.994206   -0.000717  -0.986278   0.000707  0.972644   
1800  -0.000723  -0.994210   -0.000717  -0.986293   0.000707  0.972608   
1900  -0.000723  -0.994215   -0.000717  -0.986309   0.000707  0.972570   
2000  -0.000723  -0.994220   -0.000717  -0.986326   0.000707  0.972530   
2100  -0.000723  -0.994225   -0.000717  -0.986344   0.000707  0.972487   
2200  -0.000723  -0.994230   -0.000717  -0.986363   0.000707  0.972443   
2300  -0.000723  -0.994235   -0.000717  -0.986383   0.000707  0.972396   
2400  -0.000723  -0.994241   -0.000717  -0.986403   0.000707  0.972347   
2500  -0.000723  -0.994246   -0.000717  -0.986424   0.000707  0.972296   
2600  -0.000723  -0.994252   -0.000718  -0.986446   0.000707  0.972243   
2700  -0.000723  -0.994257   -0.000718  -0.986469   0.000707  0.972188   
2800  -0.000723  -0.994263   -0.000718  -0.986492   0.000707  0.972130   
2900  -0.000723  -0.994269   -0.000718  -0.986517   0.000707  0.972071   
3000  -0.000723  -0.994275   -0.000718  -0.986542   0.000707  0.972009   
3100  -0.000723  -0.994281   -0.000718  -0.986567   0.000707  0.971945   
3200  -0.000723  -0.994286   -0.000718  -0.986594   0.000707  0.971879   
3300  -0.000723  -0.994292   -0.000718  -0.986621   0.000707  0.971810   
3400  -0.000723  -0.994298   -0.000718  -0.986649   0.000707  0.971740   
3500  -0.000723  -0.994303   -0.000718  -0.986678   0.000707  0.971667   
3600  -0.000723  -0.994309   -0.000718  -0.986708   0.000707  0.971592   
3700  -0.000723  -0.994314   -0.000718  -0.986738   0.000707  0.971515   
3800  -0.000723  -0.994319   -0.000718  -0.986769   0.000707  0.971435   
3900  -0.000723  -0.994325   -0.000718  -0.986801   0.000707  0.971353   
4000  -0.000723  -0.994329   -0.000718  -0.986833   0.000706  0.971269   
4100  -0.000723  -0.994334   -0.000718  -0.986867   0.000706  0.971183   
4200  -0.000723  -0.994338   -0.000718  -0.986901   0.000706  0.971094   
