time    position_0   position_1   position_2   position_3   
0  [12.5,9.5,]      [6.5,9.5,]      [9.5,12.5,]      [9.5,6.5,]      
100  [12.5,9.49361,]      [6.5,9.50639,]      [9.50196,12.5,]      [9.49804,6.5,]      
200  [12.5,9.48721,]      [6.5,9.51279,]      [9.50392,12.5,]      [9.49608,6.5,]      
300  [12.5,9.48082,]      [6.50001,9.51918,]      [9.50588,12.5,]      [9.49412,6.5,]      
400  [12.5,9.47443,]      [6.50002,9.52557,]      [9.50783,12.5,]      [9.49217,6.50001,]      
500  [12.5,9.46803,]      [6.50003,9.53197,]      [9.50979,12.5,]      [9.49021,6.50001,]      
600  [12.5,9.46164,]      [6.50004,9.53836,]      [9.51175,12.5,]      [9.48825,6.50002,]      
700  [12.4999,9.45524,]      [6.50005,9.54476,]      [9.51371,12.5,]      [9.48629,6.50003,]      
800  [12.4999,9.44885,]      [6.50007,9.55115,]      [9.51567,12.5,]      [9.48433,6.50003,]      
900  [12.4999,9.44245,]      [6.50009,9.55755,]      [9.51763,12.5,]      [9.48237,6.50004,]      
1000  [12.4999,9.43606,]      [6.50011,9.56394,]      [9.51959,12.4999,]      [9.48041,6.50005,]      
1100  [12.4999,9.42966,]      [6.50013,9.57034,]      [9.52155,12.4999,]      [9.47845,6.50006,]      
1200  [12.4998,9.42327,]      [6.50015,9.57673,]      [9.5235,12.4999,]      [9.4765,6.50008,]      
1300  [12.4998,9.41687,]      [6.50018,9.58313,]      [9.52546,12.4999,]      [9.47454,6.50009,]      
1400  [12.4998,9.41047,]      [6.50021,9.58953,]      [9.52742,12.4999,]      [9.47258,6.5001,]      
1500  [12.4998,9.40407,]      [6.50024,9.59593,]      [9.52938,12.4999,]      [9.47062,6.50012,]      
1600  [12.4997,9.39767,]      [6.50028,9.60233,]      [9.53134,12.4999,]      [9.46866,6.50014,]      
1700  [12.4997,9.39127,]      [6.50031,9.60873,]      [9.5333,12.4998,]      [9.4667,6.50015,]      
1800  [12.4997,9.38487,]      [6.50035,9.61513,]      [9.53526,12.4998,]      [9.46474,6.50017,]      
1900  [12.4996,9.37847,]      [6.50039,9.62153,]      [9.53721,12.4998,]      [9.46279,6.50019,]      
2000  [12.4996,9.37207,]      [6.50043,9.62793,]      [9.53917,12.4998,]      [9.46083,6.50021,]      
2100  [12.4995,9.36566,]      [6.50048,9.63434,]      [9.54113,12.4998,]      [9.45887,6.50024,]      
2200  [12.4995,9.35926,]      [6.50052,9.64074,]      [9.54309,12.4997,]      [9.45691,6.50026,]      
2300  [12.4994,9.35285,]      [6.50057,9.64715,]      [9.54505,12.4997,]      [9.45495,6.50028,]      
2400  [12.4994,9.34645,]      [6.50062,9.65355,]      [9.54701,12.4997,]      [9.45299,6.50031,]      
2500  [12.4993,9.34004,]      [6.50068,9.65996,]      [9.54896,12.4997,]      [9.45104,6.50034,]      
2600  [12.4993,9.33363,]      [6.50073,9.66637,]      [9.55092,12.4996,]      [9.44908,6.50036,]      
2700  [12.4992,9.32722,]      [6.50079,9.67278,]      [9.55288,12.4996,]      [9.44712,6.50039,]      
2800  [12.4991,9.32081,]      [6.50085,9.67919,]      [9.55484,12.4996,]      [9.44516,6.50042,]      
2900  [12.4991,9.3144,]      [6.50092,9.6856,]      [9.5568,12.4995,]      [9.4432,6.50046,]      
3000  [12.499,9.30798,]      [6.50098,9.69202,]      [9.55875,12.4995,]      [9.44125,6.50049,]      
3100  [12.4989,9.30157,]      [6.50105,9.69843,]      [9.56071,12.4995,]      [9.43929,6.50052,]      
3200  [12.4989,9.29515,]      [6.50112,9.70485,]      [9.56267,12.4994,]      [9.43733,6.50056,]      
3300  [12.4988,9.28873,]      [6.50119,9.71127,]      [9.56463,12.4994,]      [9.43537,6.50059,]      
3400  [12.4987,9.28231,]      [6.50127,9.71769,]      [9.56659,12.4994,]      [9.43341,6.50063,]      
3500  [12.4987,9.27589,]      [6.50135,9.72411,]      [9.56854,12.4993,]      [9.43146,6.50067,]      
3600  [12.4986,9.26946,]      [6.50143,9.73054,]      [9.5705,12.4993,]      [9.4295,6.50071,]      
