time     loop_value_0    n_0   loop_value_1    n_1   loop_value_2    n_2  
0  -0.000716  -0.984210   -0.000710  -0.976160   0.000715  0.982937   
100  -0.000716  -0.984211   -0.000710  -0.976161   0.000715  0.982937   
200  -0.000716  -0.984212   -0.000710  -0.976162   0.000715  0.982934   
300  -0.000716  -0.984213   -0.000710  -0.976164   0.000715  0.982930   
400  -0.000716  -0.984215   -0.000710  -0.976167   0.000715  0.982924   
500  -0.000716  -0.984218   -0.000710  -0.976171   0.000715  0.982916   
600  -0.000716  -0.984222   -0.000710  -0.976176   0.000715  0.982907   
700  -0.000716  -0.984226   -0.000710  -0.976182   0.000715  0.982896   
800  -0.000716  -0.984231   -0.000710  -0.976188   0.000715  0.982883   
900  -0.000716  -0.984236   -0.000710  -0.976196   0.000715  0.982869   
1000  -0.000716  -0.984242   -0.000710  -0.976204   0.000715  0.982853   
1100  -0.000716  -0.984249   -0.000710  -0.976213   0.000715  0.982835   
1200  -0.000716  -0.984256   -0.000710  -0.976223   0.000715  0.982815   
1300  -0.000716  -0.984264   -0.000710  -0.976234   0.000715  0.982794   
1400  -0.000716  -0.984272   -0.000710  -0.976245   0.000715  0.982771   
1500  -0.000716  -0.984281   -0.000710  -0.976258   0.000715  0.982746   
1600  -0.000716  -0.984290   -0.000710  -0.976271   0.000715  0.982720   
1700  -0.000716  -0.984300   -0.000710  -0.976285   0.000715  0.982691   
1800  -0.000716  -0.984310   -0.000710  -0.976299   0.000715  0.982662   
1900  -0.000716  -0.984321   -0.000710  -0.976315   0.000715  0.982630   
2000  -0.000716  -0.984333   -0.000710  -0.976331   0.000715  0.982596   
2100  -0.000716  -0.984344   -0.000710  -0.976348   0.000715  0.982561   
2200  -0.000716  -0.984357   -0.000710  -0.976365   0.000715  0.982524   
2300  -0.000716  -0.984369   -0.000710  -0.976384   0.000715  0.982485   
2400  -0.000716  -0.984383   -0.000710  -0.976403   0.000715  0.982445   
2500  -0.000716  -0.984396   -0.000710  -0.976422   0.000715  0.982403   
2600  -0.000716  -0.984410   -0.000710  -0.976443   0.000715  0.982358   
2700  -0.000716  -0.984424   -0.000710  -0.976464   0.000715  0.982312   
2800  -0.000716  -0.984438   -0.000710  -0.976485   0.000714  0.982265   
2900  -0.000716  -0.984453   -0.000710  -0.976508   0.000714  0.982215   
3000  -0.000716  -0.984468   -0.000710  -0.976531   0.000714  0.982164   
3100  -0.000716  -0.984483   -0.000710  -0.976554   0.000714  0.982111   
3200  -0.000716  -0.984499   -0.000710  -0.976578   0.000714  0.982055   
3300  -0.000716  -0.984515   -0.000710  -0.976603   0.000714  0.981999   
3400  -0.000716  -0.984530   -0.000710  -0.976629   0.000714  0.981940   
3500  -0.000716  -0.984546   -0.000710  -0.976655   0.000714  0.981879   
3600  -0.000716  -0.984562   -0.000710  -0.976681   0.000714  0.981817   
3700  -0.000716  -0.984578   -0.000710  -0.976708   0.000714  0.981752   
