time     loop_value_0    n_0   loop_value_1    n_1   loop_value_2    n_2  
0  -0.000716  -0.984210   -0.000710  -0.976160   0.000715  0.982937   
100  -0.000716  -0.984211   -0.000710  -0.976159   0.000715  0.982948   
200  -0.000716  -0.984211   -0.000710  -0.976157   0.000715  0.982957   
300  -0.000716  -0.984213   -0.000710  -0.976157   0.000715  0.982964   
400  -0.000716  -0.984215   -0.000710  -0.976156   0.000715  0.982968   
500  -0.000716  -0.984218   -0.000710  -0.976157   0.000715  0.982970   
600  -0.000716  -0.984221   -0.000710  -0.976158   0.000715  0.982970   
700  -0.000716  -0.984225   -0.000710  -0.976159   0.000715  0.982966   
800  -0.000716  -0.984229   -0.000710  -0.976161   0.000715  0.982961   
900  -0.000716  -0.984234   -0.000710  -0.976164   0.000715  0.982952   
1000  -0.000716  -0.984240   -0.000710  -0.976167   0.000715  0.982941   
1100  -0.000716  -0.984246   -0.000710  -0.976170   0.000715  0.982927   
1200  -0.000716  -0.984253   -0.000710  -0.976174   0.000715  0.982910   
1300  -0.000716  -0.984260   -0.000710  -0.976178   0.000715  0.982891   
1400  -0.000716  -0.984267   -0.000710  -0.976183   0.000715  0.982868   
1500  -0.000716  -0.984275   -0.000710  -0.976188   0.000715  0.982843   
1600  -0.000716  -0.984284   -0.000710  -0.976193   0.000715  0.982814   
1700  -0.000716  -0.984293   -0.000710  -0.976199   0.000715  0.982783   
1800  -0.000716  -0.984303   -0.000710  -0.976205   0.000715  0.982749   
1900  -0.000716  -0.984312   -0.000710  -0.976212   0.000715  0.982712   
2000  -0.000716  -0.984323   -0.000710  -0.976219   0.000715  0.982672   
2100  -0.000716  -0.984333   -0.000710  -0.976226   0.000715  0.982630   
2200  -0.000716  -0.984344   -0.000710  -0.976234   0.000715  0.982585   
2300  -0.000716  -0.984355   -0.000710  -0.976242   0.000715  0.982537   
2400  -0.000716  -0.984366   -0.000710  -0.976250   0.000715  0.982487   
2500  -0.000716  -0.984378   -0.000710  -0.976259   0.000715  0.982434   
2600  -0.000716  -0.984390   -0.000710  -0.976269   0.000715  0.982379   
2700  -0.000716  -0.984402   -0.000710  -0.976279   0.000715  0.982322   
2800  -0.000716  -0.984414   -0.000710  -0.976290   0.000714  0.982263   
2900  -0.000716  -0.984427   -0.000710  -0.976301   0.000714  0.982202   
3000  -0.000716  -0.984439   -0.000710  -0.976313   0.000714  0.982139   
3100  -0.000716  -0.984452   -0.000710  -0.976326   0.000714  0.982074   
3200  -0.000716  -0.984464   -0.000710  -0.976339   0.000714  0.982008   
3300  -0.000716  -0.984477   -0.000710  -0.976354   0.000714  0.981940   
3400  -0.000716  -0.984490   -0.000710  -0.976369   0.000714  0.981871   
3500  -0.000716  -0.984503   -0.000710  -0.976385   0.000714  0.981800   
3600  -0.000716  -0.984515   -0.000710  -0.976402   0.000714  0.981728   
3700  -0.000716  -0.984528   -0.000710  -0.976420   0.000714  0.981655   
3800  -0.000716  -0.984541   -0.000710  -0.976439   0.000714  0.981581   
3900  -0.000716  -0.984554   -0.000710  -0.976459   0.000714  0.981506   
4000  -0.000716  -0.984566   -0.000710  -0.976481   0.000714  0.981430   
4100  -0.000716  -0.984579   -0.000710  -0.976503   0.000714  0.981353   
4200  -0.000716  -0.984592   -0.000710  -0.976527   0.000714  0.981274   
4300  -0.000716  -0.984605   -0.000710  -0.976552   0.000714  0.981195   
4400  -0.000716  -0.984617   -0.000710  -0.976578   0.000714  0.981115   
4500  -0.000716  -0.984630   -0.000710  -0.976606   0.000714  0.981034   
4600  -0.000716  -0.984643   -0.000710  -0.976634   0.000714  0.980953   
4700  -0.000716  -0.984656   -0.000710  -0.976664   0.000713  0.980870   
4800  -0.000716  -0.984669   -0.000710  -0.976695   0.000713  0.980786   
4900  -0.000716  -0.984681   -0.000710  -0.976728   0.000713  0.980700   
5000  -0.000716  -0.984695   -0.000710  -0.976761   0.000713  0.980614   
5100  -0.000716  -0.984708   -0.000710  -0.976796   0.000713  0.980526   
5200  -0.000716  -0.984721   -0.000711  -0.976832   0.000713  0.980437   
5300  -0.000716  -0.984734   -0.000711  -0.976869   0.000713  0.980347   
5400  -0.000716  -0.984748   -0.000711  -0.976906   0.000713  0.980255   
5500  -0.000716  -0.984762   -0.000711  -0.976945   0.000713  0.980161   
5600  -0.000716  -0.984776   -0.000711  -0.976985   0.000713  0.980066   
5700  -0.000716  -0.984790   -0.000711  -0.977025   0.000713  0.979969   
5800  -0.000716  -0.984804   -0.000711  -0.977066   0.000713  0.979870   
5900  -0.000716  -0.984819   -0.000711  -0.977108   0.000713  0.979768   
6000  -0.000716  -0.984833   -0.000711  -0.977151   0.000713  0.979665   
6100  -0.000716  -0.984848   -0.000711  -0.977193   0.000713  0.979560   
6200  -0.000716  -0.984864   -0.000711  -0.977237   0.000712  0.979452   
6300  -0.000716  -0.984879   -0.000711  -0.977281   0.000712  0.979343   
6400  -0.000716  -0.984894   -0.000711  -0.977325   0.000712  0.979230   
6500  -0.000716  -0.984910   -0.000711  -0.977370   0.000712  0.979116   
6600  -0.000716  -0.984925   -0.000711  -0.977414   0.000712  0.978999   
6700  -0.000716  -0.984941   -0.000711  -0.977460   0.000712  0.978879   
6800  -0.000716  -0.984956   -0.000711  -0.977505   0.000712  0.978757   
6900  -0.000716  -0.984972   -0.000711  -0.977551   0.000712  0.978632   
7000  -0.000716  -0.984987   -0.000711  -0.977596   0.000712  0.978505   
7100  -0.000716  -0.985002   -0.000711  -0.977643   0.000712  0.978376   
7200  -0.000716  -0.985016   -0.000711  -0.977689   0.000712  0.978243   
7300  -0.000716  -0.985030   -0.000711  -0.977736   0.000711  0.978108   
7400  -0.000716  -0.985043   -0.000711  -0.977783   0.000711  0.977971   
7500  -0.000717  -0.985055   -0.000711  -0.977831   0.000711  0.977831   
7600  -0.000717  -0.985067   -0.000711  -0.977879   0.000711  0.977689   
7700  -0.000717  -0.985077   -0.000711  -0.977928   0.000711  0.977545   
7800  -0.000717  -0.985087   -0.000711  -0.977977   0.000711  0.977398   
7900  -0.000717  -0.985095   -0.000711  -0.978028   0.000711  0.977248   
8000  -0.000717  -0.985101   -0.000711  -0.978079   0.000711  0.977097   
8100  -0.000717  -0.985106   -0.000711  -0.978131   0.000711  0.976943   
8200  -0.000717  -0.985109   -0.000712  -0.978185   0.000710  0.976788   
