time    position0   position1   position2   position3   
0  [12.5,9.50033,]      [6.5,9.49967,]      [9.49967,12.5,]      [9.50033,6.5,]      
0.1  [12.4998,9.53356,]      [6.50019,9.46644,]      [9.46644,12.4998,]      [9.53356,6.50019,]      
0.2  [12.4992,9.5668,]      [6.50081,9.4332,]      [9.4332,12.4992,]      [9.5668,6.50081,]      
0.3  [12.4981,9.60006,]      [6.50194,9.39994,]      [9.39994,12.4981,]      [9.60006,6.50194,]      
0.4  [12.4964,9.63333,]      [6.50365,9.36667,]      [9.36667,12.4964,]      [9.63333,6.50365,]      
0.5  [12.494,9.66664,]      [6.50597,9.33336,]      [9.33336,12.494,]      [9.66664,6.50597,]      
0.6  [12.4911,9.69998,]      [6.50893,9.30002,]      [9.30002,12.4911,]      [9.69998,6.50893,]      
0.7  [12.4875,9.73335,]      [6.51254,9.26665,]      [9.26665,12.4875,]      [9.73335,6.51254,]      
0.8  [12.4832,9.76675,]      [6.51678,9.23325,]      [9.23325,12.4832,]      [9.76675,6.51678,]      
0.9  [12.4784,9.80019,]      [6.52164,9.19981,]      [9.19981,12.4784,]      [9.80019,6.52164,]      
1  [12.4729,9.83366,]      [6.52708,9.16634,]      [9.16634,12.4729,]      [9.83366,6.52708,]      
1.1  [12.4669,9.86715,]      [6.53306,9.13285,]      [9.13285,12.4669,]      [9.86715,6.53306,]      
