time    position0   position1   position2   position3   
0  [12.5,9.5,]      [6.5,9.5,]      [9.5,12.5,]      [9.5,6.5,]      
100  [12.5,9.50321,]      [6.50001,9.49679,]      [9.49679,12.5,]      [9.50321,6.50001,]      
200  [12.5,9.50641,]      [6.50002,9.49359,]      [9.49359,12.5,]      [9.50641,6.50002,]      
300  [12.5,9.50962,]      [6.50005,9.49038,]      [9.49038,12.5,]      [9.50962,6.50005,]      
400  [12.4999,9.51282,]      [6.50008,9.48718,]      [9.48718,12.4999,]      [9.51282,6.50008,]      
500  [12.4999,9.51603,]      [6.50013,9.48397,]      [9.48397,12.4999,]      [9.51603,6.50013,]      
600  [12.4998,9.51923,]      [6.50019,9.48077,]      [9.48077,12.4998,]      [9.51923,6.50019,]      
700  [12.4997,9.52244,]      [6.50026,9.47756,]      [9.47756,12.4997,]      [9.52244,6.50026,]      
800  [12.4997,9.52565,]      [6.50034,9.47435,]      [9.47435,12.4997,]      [9.52565,6.50034,]      
900  [12.4996,9.52885,]      [6.50043,9.47115,]      [9.47115,12.4996,]      [9.52885,6.50043,]      
1000  [12.4995,9.53205,]      [6.50053,9.46795,]      [9.46795,12.4995,]      [9.53205,6.50053,]      
