time    position0   position1   position2   position3   
0  [5.1,5.6,]      [5.5,5.6,]      [8.1,9,]      [1.2,5.1,]      
0.01  [5.11,5.63,]      [5.51,5.63,]      [8.11,9.03,]      [1.21,5.13,]      
0.02  [5.12,5.66,]      [5.52,5.66,]      [8.12,9.06,]      [1.22,5.16,]      
0.03  [5.13,5.69,]      [5.53,5.69,]      [8.13,9.09,]      [1.23,5.19,]      
0.04  [5.14,5.72,]      [5.54,5.72,]      [8.14,9.12,]      [1.24,5.22,]      
0.05  [5.15,5.75,]      [5.55,5.75,]      [8.15,9.15,]      [1.25,5.25,]      
0.06  [5.16,5.78,]      [5.56,5.78,]      [8.16,9.18,]      [1.26,5.28,]      
0.07  [5.17,5.81,]      [5.57,5.81,]      [8.17,9.21,]      [1.27,5.31,]      
0.08  [5.18,5.84,]      [5.58,5.84,]      [8.18,9.24,]      [1.28,5.34,]      
0.09  [5.19,5.87,]      [5.59,5.87,]      [8.19,9.27,]      [1.29,5.37,]      
0.1  [5.2,5.9,]      [5.6,5.9,]      [8.2,9.3,]      [1.3,5.4,]      
0.11  [5.21,5.93,]      [5.61,5.93,]      [8.21,9.33,]      [1.31,5.43,]      
0.12  [5.22,5.96,]      [5.62,5.96,]      [8.22,9.36,]      [1.32,5.46,]      
0.13  [5.23,5.99,]      [5.63,5.99,]      [8.23,9.39,]      [1.33,5.49,]      
0.14  [5.24,6.02,]      [5.64,6.02,]      [8.24,9.42,]      [1.34,5.52,]      
0.15  [5.25,6.05,]      [5.65,6.05,]      [8.25,9.45,]      [1.35,5.55,]      
0.16  [5.26,6.08,]      [5.66,6.08,]      [8.26,9.48,]      [1.36,5.58,]      
0.17  [5.27,6.11,]      [5.67,6.11,]      [8.27,9.51,]      [1.37,5.61,]      
0.18  [5.28,6.14,]      [5.68,6.14,]      [8.28,9.54,]      [1.38,5.64,]      
0.19  [5.29,6.17,]      [5.69,6.17,]      [8.29,9.57,]      [1.39,5.67,]      
0.2  [5.3,6.2,]      [5.7,6.2,]      [8.3,9.6,]      [1.4,5.7,]      
0.21  [5.31,6.23,]      [5.71,6.23,]      [8.31,9.63,]      [1.41,5.73,]      
0.22  [5.32,6.26,]      [5.72,6.26,]      [8.32,9.66,]      [1.42,5.76,]      
0.23  [5.33,6.29,]      [5.73,6.29,]      [8.33,9.69,]      [1.43,5.79,]      
0.24  [5.34,6.32,]      [5.74,6.32,]      [8.34,9.72,]      [1.44,5.82,]      
0.25  [5.35,6.35,]      [5.75,6.35,]      [8.35,9.75,]      [1.45,5.85,]      
0.26  [5.36,6.38,]      [5.76,6.38,]      [8.36,9.78,]      [1.46,5.88,]      
0.27  [5.37,6.41,]      [5.77,6.41,]      [8.37,9.81,]      [1.47,5.91,]      
0.28  [5.38,6.44,]      [5.78,6.44,]      [8.38,9.84,]      [1.48,5.94,]      
0.29  [5.39,6.47,]      [5.79,6.47,]      [8.39,9.87,]      [1.49,5.97,]      
0.3  [5.4,6.5,]      [5.8,6.5,]      [8.4,9.9,]      [1.5,6,]      
0.31  [5.41,6.53,]      [5.81,6.53,]      [8.41,9.93,]      [1.51,6.03,]      
0.32  [5.42,6.56,]      [5.82,6.56,]      [8.42,9.96,]      [1.52,6.06,]      
0.33  [5.43,6.59,]      [5.83,6.59,]      [8.43,9.99,]      [1.53,6.09,]      
0.34  [5.44,6.62,]      [5.84,6.62,]      [8.44,10.02,]      [1.54,6.12,]      
0.35  [5.45,6.65,]      [5.85,6.65,]      [8.45,10.05,]      [1.55,6.15,]      
0.36  [5.46,6.68,]      [5.86,6.68,]      [8.46,10.08,]      [1.56,6.18,]      
0.37  [5.47,6.71,]      [5.87,6.71,]      [8.47,10.11,]      [1.57,6.21,]      
0.38  [5.48,6.74,]      [5.88,6.74,]      [8.48,10.14,]      [1.58,6.24,]      
0.39  [5.49,6.77,]      [5.89,6.77,]      [8.49,10.17,]      [1.59,6.27,]      
0.4  [5.5,6.8,]      [5.9,6.8,]      [8.5,10.2,]      [1.6,6.3,]      
0.41  [5.51,6.83,]      [5.91,6.83,]      [8.51,10.23,]      [1.61,6.33,]      
0.42  [5.52,6.86,]      [5.92,6.86,]      [8.52,10.26,]      [1.62,6.36,]      
0.43  [5.53,6.89,]      [5.93,6.89,]      [8.53,10.29,]      [1.63,6.39,]      
0.44  [5.54,6.92,]      [5.94,6.92,]      [8.54,10.32,]      [1.64,6.42,]      
0.45  [5.55,6.95,]      [5.95,6.95,]      [8.55,10.35,]      [1.65,6.45,]      
0.46  [5.56,6.98,]      [5.96,6.98,]      [8.56,10.38,]      [1.66,6.48,]      
0.47  [5.57,7.01,]      [5.97,7.01,]      [8.57,10.41,]      [1.67,6.51,]      
0.48  [5.58,7.04,]      [5.98,7.04,]      [8.58,10.44,]      [1.68,6.54,]      
0.49  [5.59,7.07,]      [5.99,7.07,]      [8.59,10.47,]      [1.69,6.57,]      
0.5  [5.6,7.1,]      [6,7.1,]      [8.6,10.5,]      [1.7,6.6,]      
0.51  [5.61,7.13,]      [6.01,7.13,]      [8.61,10.53,]      [1.71,6.63,]      
0.52  [5.62,7.16,]      [6.02,7.16,]      [8.62,10.56,]      [1.72,6.66,]      
0.53  [5.63,7.19,]      [6.03,7.19,]      [8.63,10.59,]      [1.73,6.69,]      
0.54  [5.64,7.22,]      [6.04,7.22,]      [8.64,10.62,]      [1.74,6.72,]      
0.55  [5.65,7.25,]      [6.05,7.25,]      [8.65,10.65,]      [1.75,6.75,]      
0.56  [5.66,7.28,]      [6.06,7.28,]      [8.66,10.68,]      [1.76,6.78,]      
0.57  [5.67,7.31,]      [6.07,7.31,]      [8.67,10.71,]      [1.77,6.81,]      
0.58  [5.68,7.34,]      [6.08,7.34,]      [8.68,10.74,]      [1.78,6.84,]      
0.59  [5.69,7.37,]      [6.09,7.37,]      [8.69,10.77,]      [1.79,6.87,]      
0.6  [5.7,7.4,]      [6.1,7.4,]      [8.7,10.8,]      [1.8,6.9,]      
0.61  [5.71,7.43,]      [6.11,7.43,]      [8.71,10.83,]      [1.81,6.93,]      
0.62  [5.72,7.46,]      [6.12,7.46,]      [8.72,10.86,]      [1.82,6.96,]      
0.63  [5.73,7.49,]      [6.13,7.49,]      [8.73,10.89,]      [1.83,6.99,]      
0.64  [5.74,7.52,]      [6.14,7.52,]      [8.74,10.92,]      [1.84,7.02,]      
0.65  [5.75,7.55,]      [6.15,7.55,]      [8.75,10.95,]      [1.85,7.05,]      
0.66  [5.76,7.58,]      [6.16,7.58,]      [8.76,10.98,]      [1.86,7.08,]      
0.67  [5.77,7.61,]      [6.17,7.61,]      [8.77,11.01,]      [1.87,7.11,]      
0.68  [5.78,7.64,]      [6.18,7.64,]      [8.78,11.04,]      [1.88,7.14,]      
0.69  [5.79,7.67,]      [6.19,7.67,]      [8.79,11.07,]      [1.89,7.17,]      
0.7  [5.8,7.7,]      [6.2,7.7,]      [8.8,11.1,]      [1.9,7.2,]      
0.71  [5.81,7.73,]      [6.21,7.73,]      [8.81,11.13,]      [1.91,7.23,]      
0.72  [5.82,7.76,]      [6.22,7.76,]      [8.82,11.16,]      [1.92,7.26,]      
0.73  [5.83,7.79,]      [6.23,7.79,]      [8.83,11.19,]      [1.93,7.29,]      
0.74  [5.84,7.82,]      [6.24,7.82,]      [8.84,11.22,]      [1.94,7.32,]      
0.75  [5.85,7.85,]      [6.25,7.85,]      [8.85,11.25,]      [1.95,7.35,]      
0.76  [5.86,7.88,]      [6.26,7.88,]      [8.86,11.28,]      [1.96,7.38,]      
0.77  [5.87,7.91,]      [6.27,7.91,]      [8.87,11.31,]      [1.97,7.41,]      
0.78  [5.88,7.94,]      [6.28,7.94,]      [8.88,11.34,]      [1.98,7.44,]      
0.79  [5.89,7.97,]      [6.29,7.97,]      [8.89,11.37,]      [1.99,7.47,]      
0.8  [5.9,8,]      [6.3,8,]      [8.9,11.4,]      [2,7.5,]      
0.81  [5.91,8.03,]      [6.31,8.03,]      [8.91,11.43,]      [2.01,7.53,]      
0.82  [5.92,8.06,]      [6.32,8.06,]      [8.92,11.46,]      [2.02,7.56,]      
0.83  [5.93,8.09,]      [6.33,8.09,]      [8.93,11.49,]      [2.03,7.59,]      
0.84  [5.94,8.12,]      [6.34,8.12,]      [8.94,11.52,]      [2.04,7.62,]      
0.85  [5.95,8.15,]      [6.35,8.15,]      [8.95,11.55,]      [2.05,7.65,]      
0.86  [5.96,8.18,]      [6.36,8.18,]      [8.96,11.58,]      [2.06,7.68,]      
0.87  [5.97,8.21,]      [6.37,8.21,]      [8.97,11.61,]      [2.07,7.71,]      
0.88  [5.98,8.24,]      [6.38,8.24,]      [8.98,11.64,]      [2.08,7.74,]      
0.89  [5.99,8.27,]      [6.39,8.27,]      [8.99,11.67,]      [2.09,7.77,]      
0.9  [6,8.3,]      [6.4,8.3,]      [9,11.7,]      [2.1,7.8,]      
0.91  [6.01,8.33,]      [6.41,8.33,]      [9.01,11.73,]      [2.11,7.83,]      
0.92  [6.02,8.36,]      [6.42,8.36,]      [9.02,11.76,]      [2.12,7.86,]      
0.93  [6.03,8.39,]      [6.43,8.39,]      [9.03,11.79,]      [2.13,7.89,]      
0.94  [6.04,8.42,]      [6.44,8.42,]      [9.04,11.82,]      [2.14,7.92,]      
0.95  [6.05,8.45,]      [6.45,8.45,]      [9.05,11.85,]      [2.15,7.95,]      
0.96  [6.06,8.48,]      [6.46,8.48,]      [9.06,11.88,]      [2.16,7.98,]      
0.97  [6.07,8.51,]      [6.47,8.51,]      [9.07,11.91,]      [2.17,8.01,]      
0.98  [6.08,8.54,]      [6.48,8.54,]      [9.08,11.94,]      [2.18,8.04,]      
0.99  [6.09,8.57,]      [6.49,8.57,]      [9.09,11.97,]      [2.19,8.07,]      
