time    position0   position1   position2   position3   
0  [12.5,9.5,]      [6.5,9.5,]      [9.5,12.5,]      [9.5,6.5,]      
0.1  [12.4999,9.53948,]      [6.50015,9.48409,]      [9.4723,12.5117,]      [9.52769,6.51192,]      
0.2  [12.4995,9.57897,]      [6.50059,9.46819,]      [9.44458,12.523,]      [9.55536,6.52409,]      
0.3  [12.4989,9.61847,]      [6.50134,9.45228,]      [9.41685,12.5341,]      [9.58302,6.53653,]      
0.4  [12.4981,9.658,]      [6.50239,9.43638,]      [9.38909,12.5449,]      [9.61068,6.54923,]      
0.5  [12.497,9.69756,]      [6.50375,9.42048,]      [9.3613,12.5554,]      [9.63832,6.56218,]      
0.6  [12.4956,9.73716,]      [6.50543,9.40458,]      [9.33349,12.5656,]      [9.66596,6.5754,]      
0.7  [12.494,9.7768,]      [6.50743,9.38869,]      [9.30565,12.5754,]      [9.6936,6.58888,]      
0.8  [12.4921,9.81651,]      [6.50977,9.37282,]      [9.27778,12.5849,]      [9.72122,6.60263,]      
0.9  [12.4899,9.85627,]      [6.51245,9.35695,]      [9.24987,12.594,]      [9.74884,6.61667,]      
1  [12.4874,9.89611,]      [6.51549,9.3411,]      [9.22192,12.6028,]      [9.77644,6.631,]      
1.1  [12.4846,9.93602,]      [6.51889,9.32526,]      [9.19394,12.6111,]      [9.80402,6.64564,]      
1.2  [12.4814,9.97602,]      [6.52267,9.30945,]      [9.16591,12.6191,]      [9.83159,6.66061,]      
1.3  [12.4778,10.0161,]      [6.52684,9.29367,]      [9.13784,12.6265,]      [9.85912,6.67592,]      
1.4  [12.4739,10.0561,]      [6.53141,9.27791,]      [9.10973,12.6336,]      [9.88663,6.69159,]      
1.5  [12.4697,10.0959,]      [6.53639,9.2622,]      [9.08156,12.6401,]      [9.9141,6.70765,]      
1.6  [12.4651,10.1357,]      [6.54179,9.24652,]      [9.05334,12.6461,]      [9.94153,6.7241,]      
1.7  [12.4602,10.1753,]      [6.54761,9.23089,]      [9.02506,12.6516,]      [9.96891,6.74098,]      
1.8  [12.4551,10.2148,]      [6.55388,9.2153,]      [8.99672,12.6565,]      [9.99624,6.75829,]      
1.9  [12.4495,10.2542,]      [6.56058,9.19977,]      [8.9684,12.661,]      [10.0235,6.77601,]      
2  [12.4437,10.2935,]      [6.56773,9.1843,]      [8.94016,12.6651,]      [10.0505,6.79405,]      
2.1  [12.4376,10.3327,]      [6.57533,9.16887,]      [8.91201,12.6689,]      [10.0773,6.81242,]      
2.2  [12.4311,10.3718,]      [6.58338,9.15351,]      [8.88393,12.6723,]      [10.104,6.83109,]      
2.3  [12.4244,10.4109,]      [6.59187,9.1382,]      [8.85592,12.6754,]      [10.1306,6.85006,]      
2.4  [12.4173,10.4498,]      [6.60079,9.12295,]      [8.82798,12.6782,]      [10.1569,6.86931,]      
2.5  [12.41,10.4887,]      [6.61014,9.10775,]      [8.80011,12.6807,]      [10.1831,6.88881,]      
2.6  [12.4023,10.5275,]      [6.61989,9.0926,]      [8.77231,12.683,]      [10.2092,6.90855,]      
2.7  [12.3943,10.5662,]      [6.63003,9.07749,]      [8.74458,12.685,]      [10.2351,6.92851,]      
2.8  [12.3861,10.6049,]      [6.64054,9.06243,]      [8.71692,12.6868,]      [10.2609,6.94866,]      
2.9  [12.3775,10.6435,]      [6.6514,9.0474,]      [8.68933,12.6883,]      [10.2867,6.96899,]      
3  [12.3686,10.6821,]      [6.66256,9.0324,]      [8.66182,12.6896,]      [10.3123,6.98945,]      
3.1  [12.3593,10.7205,]      [6.67401,9.01742,]      [8.63439,12.6907,]      [10.3378,7.01003,]      
3.2  [12.3498,10.759,]      [6.6857,9.00247,]      [8.60705,12.6916,]      [10.3634,7.0306,]      
3.3  [12.34,10.7973,]      [6.69756,8.98755,]      [8.57979,12.6922,]      [10.3891,7.05115,]      
3.4  [12.3299,10.8357,]      [6.70946,8.9727,]      [8.55262,12.6927,]      [10.4148,7.07166,]      
3.5  [12.3194,10.874,]      [6.72137,8.95791,]      [8.52556,12.6928,]      [10.4405,7.09215,]      
3.6  [12.3088,10.9122,]      [6.73328,8.94319,]      [8.49859,12.6928,]      [10.4663,7.11261,]      
3.7  [12.2978,10.9505,]      [6.74516,8.92855,]      [8.47173,12.6925,]      [10.4921,7.13306,]      
3.8  [12.2866,10.9887,]      [6.757,8.91398,]      [8.44498,12.692,]      [10.5179,7.1535,]      
3.9  [12.2752,11.0269,]      [6.76881,8.89949,]      [8.41833,12.6912,]      [10.5437,7.17394,]      
4  [12.2639,11.065,]      [6.78057,8.88508,]      [8.3918,12.6902,]      [10.5694,7.19439,]      
4.1  [12.2525,11.103,]      [6.79228,8.87075,]      [8.36539,12.6889,]      [10.5951,7.21486,]      
4.2  [12.2411,11.141,]      [6.80395,8.85652,]      [8.33908,12.6873,]      [10.6208,7.23537,]      
4.3  [12.2296,11.1788,]      [6.81558,8.84237,]      [8.31289,12.6856,]      [10.6463,7.25591,]      
4.4  [12.2181,11.2166,]      [6.82718,8.82833,]      [8.28682,12.6835,]      [10.6718,7.27651,]      
4.5  [12.2065,11.2542,]      [6.83875,8.81438,]      [8.26086,12.6812,]      [10.6971,7.29718,]      
