time    position0   position1   position2   position3   
0  [12.5,9.5,]      [6.5,9.5,]      [9.5,12.5,]      [9.5,6.5,]      
1000  [12.4976,9.45868,]      [6.50242,9.54132,]      [9.48166,12.5,]      [9.51834,6.50004,]      
2000  [12.4906,9.41689,]      [6.5094,9.58311,]      [9.46332,12.4998,]      [9.53668,6.50018,]      
3000  [12.4798,9.37415,]      [6.52021,9.62585,]      [9.44497,12.4996,]      [9.55503,6.5004,]      
4000  [12.4664,9.32992,]      [6.53363,9.67008,]      [9.42661,12.4993,]      [9.57339,6.5007,]      
5000  [12.4519,9.28358,]      [6.54812,9.71642,]      [9.40823,12.4989,]      [9.59177,6.5011,]      
6000  [12.438,9.23444,]      [6.56196,9.76556,]      [9.38983,12.4984,]      [9.61017,6.50158,]      
7000  [12.4263,9.18168,]      [6.57367,9.81832,]      [9.37139,12.4979,]      [9.62861,6.50215,]      
8000  [12.4177,9.12425,]      [6.58234,9.87575,]      [9.35292,12.4972,]      [9.64708,6.50279,]      
9000  [12.4123,9.0607,]      [6.58774,9.9393,]      [9.33438,12.4965,]      [9.66562,6.50351,]      
10000  [12.4097,8.98911,]      [6.5903,10.0109,]      [9.31576,12.4957,]      [9.68424,6.50429,]      
11000  [12.4064,8.91258,]      [6.59363,10.0874,]      [9.29701,12.4949,]      [9.70299,6.5051,]      
12000  [12.4003,8.83437,]      [6.59968,10.1656,]      [9.27809,12.4941,]      [9.72191,6.50591,]      
13000  [12.3919,8.75548,]      [6.60807,10.2445,]      [9.25893,12.4933,]      [9.74107,6.50669,]      
14000  [12.3819,8.67684,]      [6.61808,10.3232,]      [9.23943,12.4926,]      [9.76057,6.50737,]      
15000  [12.3711,8.59915,]      [6.62887,10.4009,]      [9.21947,12.4921,]      [9.78053,6.5079,]      
16000  [12.3603,8.52267,]      [6.63968,10.4773,]      [9.19889,12.4918,]      [9.80111,6.50822,]      
17000  [12.35,8.44738,]      [6.65004,10.5526,]      [9.17745,12.4917,]      [9.82255,6.50831,]      
18000  [12.34,8.37303,]      [6.66,10.627,]      [9.1548,12.4919,]      [9.8452,6.50815,]      
19000  [12.3297,8.29936,]      [6.67031,10.7006,]      [9.1305,12.4922,]      [9.8695,6.5078,]      
20000  [12.318,8.22621,]      [6.68199,10.7738,]      [9.10388,12.4926,]      [9.89612,6.50737,]      
21000  [12.3043,8.15365,]      [6.6957,10.8463,]      [9.07401,12.4929,]      [9.92599,6.50706,]      
